,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.73,0.69,0.78,0.57,0.51,0.5,0.88,1.7,0.79,0.91,1.06,1.14,0.96,1.03,0.48,0.89
f_1,1.07,2.83,0.57,0.62,0.52,0.46,0.78,0.91,0.84,0.86,0.94,0.44,0.91,0.88,0.68,1.01
c_1,0.57,0.66,3.0,0.58,1.19,0.47,0.86,0.84,0.74,0.23,0.57,0.83,0.9,0.88,0.95,0.93
d_1,0.59,0.62,0.4,3.14,0.64,0.6,0.87,0.4,1.2,1.91,1.2,1.06,1.0,1.15,1.0,0.94
b_1,0.5,0.54,0.63,0.58,3.51,1.35,0.93,0.83,0.86,0.82,0.35,0.88,1.05,0.76,0.99,0.91
a_1,0.57,0.69,0.76,0.63,0.48,4.95,0.99,0.87,0.7,0.84,1.15,0.96,0.9,0.29,1.07,0.99
h_1,0.59,1.1,0.86,0.79,0.68,0.65,3.2,0.83,1.37,0.88,1.07,0.86,0.83,1.02,1.39,1.58
d_0,0.74,0.74,1.52,0.26,0.74,0.77,1.31,2.35,1.0,0.72,1.02,1.1,1.22,0.84,1.15,0.93
g_1,0.71,0.63,0.64,1.37,0.62,0.54,1.03,0.87,3.84,1.15,1.18,1.75,1.04,1.0,1.19,0.68
c_0,1.0,0.83,0.44,0.84,0.51,0.81,1.07,1.12,1.14,2.42,2.09,1.09,1.24,1.4,1.1,1.05
b_0,0.84,0.7,0.92,0.91,0.38,0.51,1.22,1.11,0.99,1.06,2.63,1.28,1.15,2.35,1.41,1.3
f_0,0.65,0.49,0.76,0.77,0.74,0.78,1.26,1.11,1.33,1.39,1.32,3.01,1.37,1.15,2.57,1.32
h_0,0.65,1.21,0.77,0.84,0.58,0.61,0.75,1.05,1.46,1.17,1.19,1.28,0.78,1.16,1.35,1.71
a_0,0.9,0.69,0.8,0.94,0.78,0.18,1.05,1.16,1.07,1.22,1.09,1.08,1.26,3.37,1.44,1.24
e_0,0.35,0.95,0.93,0.73,0.7,0.8,1.5,1.12,1.22,1.28,1.19,1.27,1.51,1.3,3.51,1.33
g_0,0.56,0.77,0.77,1.28,0.65,0.66,0.97,0.88,0.71,1.14,1.31,1.88,1.57,1.4,1.47,0.87
