,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.95,0.85,0.51,0.52,0.39,0.31,0.33,0.33,0.32,0.33,0.25,0.32,0.29,0.17,0.22,0.24
e_1,0.55,0.95,0.54,0.63,0.47,0.33,0.4,0.34,0.3,0.53,0.38,0.35,0.31,0.22,0.25,0.27
d_1,0.63,0.55,0.96,0.43,0.51,0.34,0.38,0.29,0.55,0.24,0.33,0.36,0.3,0.27,0.22,0.23
c_1,0.62,0.52,0.59,0.95,0.82,0.37,0.39,0.36,0.23,0.29,0.31,0.27,0.28,0.23,0.23,0.26
b_1,0.73,0.56,0.6,0.43,0.95,0.55,0.39,0.33,0.4,0.33,0.35,0.28,0.35,0.25,0.23,0.27
a_1,0.8,0.61,0.71,0.62,0.53,0.94,0.53,0.35,0.46,0.38,0.33,0.44,0.37,0.35,0.26,0.32
h_1,1.1,0.81,0.87,0.74,0.76,0.46,0.79,0.57,0.43,0.42,0.48,0.43,0.37,0.33,0.4,0.5
g_1,0.84,0.79,1.17,0.73,0.78,0.53,0.58,0.78,0.52,0.46,0.7,0.49,0.42,0.39,0.38,0.37
c_0,1.0,1.03,0.81,0.82,0.6,0.53,0.65,0.58,0.7,0.64,0.56,0.9,0.53,0.43,0.48,0.44
d_0,0.94,0.82,0.82,1.39,0.81,0.51,0.65,0.53,0.38,0.69,0.49,0.5,0.5,0.45,0.39,0.49
f_0,0.78,0.75,1.11,0.92,0.86,0.6,0.61,0.52,0.61,0.56,0.71,0.56,0.57,0.78,0.46,0.42
b_0,1.01,0.9,0.94,0.95,0.72,0.48,0.67,0.6,0.48,0.58,0.54,0.7,0.57,0.47,0.7,0.47
h_0,1.21,1.1,1.13,1.01,0.71,0.58,0.6,0.78,0.62,0.59,0.53,0.57,0.45,0.39,0.42,0.55
e_0,1.39,0.9,1.07,0.9,0.88,0.65,0.79,0.61,0.62,0.51,0.41,0.61,0.63,0.68,0.48,0.5
a_0,1.13,1.01,1.14,0.98,0.82,0.49,0.69,0.63,0.66,0.59,0.63,0.53,0.66,0.48,0.66,0.57
g_0,0.96,1.03,1.51,1.07,0.84,0.61,0.61,0.62,0.68,0.53,0.84,0.66,0.59,0.55,0.48,0.43
