,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.05,1.84,1.5,1.69,1.55,1.32,0.49,0.55,0.59,0.47,0.47,0.53,0.3,0.43,0.4,0.39
e_1,1.23,1.05,1.7,1.94,1.77,1.4,0.66,0.69,0.63,0.48,0.52,0.63,0.4,0.41,0.44,0.62
d_1,1.94,1.95,1.05,1.68,1.77,1.36,0.59,0.8,0.45,0.6,0.45,0.49,0.36,0.41,0.29,0.43
c_1,1.93,1.57,2.19,1.05,2.02,1.42,0.65,0.34,0.71,0.58,0.47,0.52,0.43,0.47,0.34,0.4
b_1,2.27,1.98,2.06,1.3,1.06,2.31,0.84,0.56,0.75,0.75,0.74,0.54,0.45,0.48,0.46,0.48
a_1,3.47,2.93,3.03,2.86,1.45,1.06,1.4,0.82,1.19,0.83,1.15,0.81,0.74,0.94,0.62,0.66
h_1,5.42,4.96,4.89,5.33,4.14,3.02,1.29,1.32,1.91,1.53,1.47,1.33,1.29,1.12,1.07,1.18
d_0,5.66,3.61,6.44,7.66,5.65,5.07,2.59,1.42,2.22,1.61,1.89,1.63,1.35,1.45,1.4,1.46
g_1,6.08,5.78,5.83,6.06,5.79,4.41,1.78,1.96,1.3,1.83,1.82,1.76,1.1,1.47,1.49,1.34
c_0,6.28,6.19,4.1,7.77,5.56,5.61,2.61,2.24,2.0,1.42,2.21,1.77,1.45,1.65,1.29,1.63
b_0,6.75,6.38,5.61,7.99,7.08,4.77,2.38,2.1,2.1,1.19,1.4,1.59,1.46,1.85,1.25,1.48
f_0,8.58,5.78,6.68,6.5,6.2,5.81,2.75,1.97,1.7,1.79,2.03,1.42,1.57,1.98,1.03,1.78
h_0,8.86,7.62,8.11,8.04,8.47,5.73,3.65,2.64,2.69,2.28,2.11,2.11,2.2,2.11,1.81,1.61
a_0,9.23,9.3,8.78,8.67,10.94,6.99,3.99,3.34,3.11,2.23,1.65,2.56,1.88,1.61,1.89,2.28
g_0,9.34,8.34,10.43,9.88,9.38,8.18,3.06,2.72,3.83,2.79,2.64,3.04,1.77,2.08,2.2,2.12
e_0,13.1,10.25,8.22,9.93,9.19,8.42,3.58,2.81,3.58,2.64,2.93,1.61,2.38,2.45,1.87,1.56
