,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.86,1.43,1.37,1.29,1.22,0.63,0.58,0.51,0.62,0.51,0.57,0.45,0.42,0.71,0.45
f_1,1.45,0.65,1.36,1.0,1.34,1.12,0.5,0.56,0.48,0.64,0.48,0.64,0.42,0.31,0.41,0.43
c_1,1.12,1.34,0.65,1.6,1.46,1.16,0.71,0.3,0.62,0.6,0.49,0.46,0.41,0.36,0.39,0.37
d_1,1.59,1.74,1.27,0.64,1.28,1.1,0.52,0.72,0.54,0.4,0.43,0.44,0.5,0.37,0.41,0.26
b_1,1.43,1.54,0.88,1.43,0.63,1.65,0.66,0.57,0.57,0.67,0.74,0.55,0.51,0.45,0.4,0.44
a_1,1.81,1.77,1.99,1.86,0.95,0.57,0.74,0.63,0.54,0.81,0.56,0.75,1.54,0.52,0.6,0.45
h_1,2.06,2.27,1.8,1.92,1.75,1.71,0.57,0.8,0.74,0.95,0.72,0.66,0.64,0.78,0.71,0.63
d_0,1.33,2.05,2.81,2.94,1.95,2.15,1.02,0.61,0.77,1.05,0.87,0.71,0.7,0.69,0.75,0.64
c_0,2.24,2.16,3.29,1.39,2.17,2.1,0.95,1.03,0.61,0.91,1.03,0.75,0.78,0.74,0.96,0.59
g_1,2.32,2.4,2.07,2.2,2.36,1.89,0.75,0.88,0.74,0.54,0.72,0.87,0.64,0.53,0.81,0.77
b_0,2.04,2.34,2.68,2.32,3.06,2.16,1.03,0.8,0.52,0.99,0.59,0.66,0.94,0.61,0.81,0.6
f_0,1.85,3.74,2.43,2.33,2.32,1.95,1.12,0.94,0.8,0.71,0.99,0.57,0.79,0.66,0.97,0.5
a_0,2.31,2.66,2.88,2.46,3.03,2.62,1.24,1.01,0.86,1.21,0.56,0.89,0.56,0.81,0.84,0.84
h_0,2.53,2.69,2.7,2.68,2.57,2.01,1.35,0.95,0.89,1.17,1.03,0.93,0.83,0.88,0.78,0.73
e_0,2.96,3.63,2.8,3.2,2.97,2.03,1.15,1.02,0.95,1.21,1.02,0.57,0.96,0.83,0.55,0.77
g_0,2.64,2.83,3.03,3.25,2.51,2.36,0.95,1.16,1.03,1.53,0.98,1.09,0.94,0.71,0.99,0.96
