,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.82,0.88,1.0,0.93,0.63,0.44,0.48,0.58,0.33,0.43,0.38,0.37,0.25,,0.31
f_1,1.22,1.0,0.93,1.03,0.87,0.79,0.4,0.43,0.56,0.45,0.41,,0.27,0.46,0.23,0.25
d_1,1.13,1.08,1.0,0.82,0.93,0.83,0.51,0.34,,0.57,0.38,0.34,0.49,0.32,0.3,0.27
c_1,1.0,0.97,1.22,1.0,1.41,0.62,0.49,0.41,0.31,,0.49,0.41,0.38,0.27,0.32,0.37
b_1,1.08,1.16,1.08,0.71,1.0,1.26,0.43,0.59,0.71,0.59,,0.4,0.38,0.33,0.29,0.3
a_1,1.6,1.27,1.21,1.62,0.8,1.0,0.8,0.6,0.71,0.42,0.54,0.47,0.47,,,0.4
h_1,2.25,2.49,1.96,2.05,2.33,1.25,1.0,1.34,0.8,0.86,0.8,0.84,,0.91,0.55,0.66
g_1,2.1,2.31,2.95,2.43,1.68,1.68,0.74,1.0,0.92,0.97,0.73,1.25,0.62,0.79,0.71,
d_0,1.71,1.78,,3.19,1.4,1.42,1.26,1.09,1.0,1.03,0.98,1.02,0.95,0.77,0.77,0.77
c_0,3.01,2.24,1.75,,1.71,2.37,1.17,1.03,0.97,1.0,1.0,1.02,1.04,0.83,0.79,0.86
b_0,2.35,2.42,2.64,2.05,,1.87,1.25,1.37,1.02,1.0,1.0,0.97,0.94,0.95,0.6,0.82
f_0,2.66,,2.9,2.45,2.5,2.12,1.2,0.8,0.98,0.98,1.04,1.0,0.79,,,0.65
h_0,2.72,3.74,2.04,2.66,2.61,2.12,,1.62,1.05,0.97,1.06,1.26,,1.03,0.84,0.89
a_0,4.07,2.19,3.08,3.68,3.05,,1.1,1.26,1.3,1.21,1.05,,0.97,1.0,,1.05
e_0,,4.32,3.28,3.11,3.47,,1.8,1.4,1.29,1.27,1.67,,1.2,,1.0,
g_0,3.26,3.97,3.76,2.67,3.34,2.49,1.52,,1.3,1.16,1.23,1.54,1.12,0.95,,
