,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,17.0,0.46,0.45,0.77,0.51,0.45,0.88,0.9,1.94,0.74,0.9,1.2,0.98,0.49,1.09,0.98
d_1,0.5,18.26,0.62,0.37,0.51,0.53,0.94,0.98,0.31,2.09,1.31,1.06,1.03,1.06,1.21,0.87
f_1,1.23,0.49,18.62,0.52,0.38,0.44,0.83,0.63,0.85,0.85,0.95,0.21,0.67,0.58,0.85,0.88
c_1,0.42,0.5,0.5,20.27,1.33,0.51,0.73,0.83,0.89,0.2,0.67,0.87,0.96,0.73,0.81,0.75
b_1,0.41,0.49,0.59,0.45,22.05,1.28,0.92,0.89,0.9,0.9,0.33,0.95,1.05,0.98,0.47,0.93
a_1,0.46,0.6,0.64,0.64,0.43,30.68,0.92,0.85,0.67,0.95,1.05,0.82,0.96,1.16,0.31,0.96
h_1,0.6,0.73,1.07,0.6,0.74,0.63,5.91,1.57,0.97,1.16,0.97,1.05,0.65,1.44,1.19,2.1
g_1,0.56,1.24,0.53,0.69,0.62,0.68,0.93,5.71,1.02,1.06,1.14,2.12,1.06,1.46,0.96,0.78
d_0,0.7,0.36,0.57,1.71,0.67,0.79,1.1,0.98,3.05,0.76,0.8,1.16,1.25,1.47,0.96,1.58
c_0,0.77,0.99,0.81,0.32,0.47,0.63,1.14,1.21,0.89,3.53,2.71,1.25,1.42,1.41,1.56,1.2
b_0,0.58,0.83,0.85,0.71,0.23,0.61,1.33,0.96,1.25,1.33,4.18,1.28,1.6,1.16,3.69,1.36
f_0,0.55,1.0,0.35,0.79,0.72,0.62,1.17,1.15,1.46,1.15,1.05,4.26,1.63,3.2,1.14,1.71
h_0,0.49,0.81,1.24,0.65,0.64,0.76,0.47,1.83,1.14,1.18,1.38,1.2,0.51,1.24,1.11,1.65
e_0,0.26,0.93,0.69,0.79,0.73,0.71,1.21,1.54,1.54,1.14,1.42,1.37,1.71,5.53,1.31,1.48
a_0,0.61,0.74,0.8,0.85,0.71,0.2,1.27,0.99,1.45,0.95,1.52,1.46,1.73,1.39,5.81,1.25
g_0,0.5,1.46,0.56,0.76,0.58,0.55,1.36,0.69,1.11,1.0,1.04,2.28,1.68,1.67,1.29,0.57
