,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,0.97,0.87,0.96,0.89,0.82,0.37,0.41,0.31,0.36,0.3,0.37,0.22,0.29,0.29,0.29
e_1,0.72,0.65,0.94,1.06,0.95,0.82,0.43,0.46,0.35,0.42,0.35,0.42,0.28,0.36,0.29,0.37
d_1,1.05,1.15,0.64,0.91,0.79,0.74,0.42,0.33,0.4,0.42,0.39,0.34,0.27,0.32,0.2,0.29
c_1,0.99,0.82,1.13,0.63,1.15,0.93,0.45,0.41,0.39,0.25,0.35,0.35,0.29,0.34,0.27,0.32
b_1,1.2,1.09,1.19,0.71,0.6,1.12,0.48,0.46,0.52,0.36,0.5,0.37,0.37,0.35,0.38,0.39
a_1,1.39,1.29,1.31,1.18,0.71,0.56,0.58,0.52,0.5,0.45,0.6,0.42,0.38,0.47,0.38,0.39
h_1,1.68,1.56,1.57,1.54,1.45,1.3,0.54,0.73,0.53,0.6,0.56,0.54,0.5,0.47,0.48,0.52
g_1,1.79,1.65,1.75,1.66,1.66,1.53,0.61,0.51,0.65,0.6,0.59,0.67,0.43,0.56,0.48,0.64
c_0,2.11,1.96,1.19,2.17,1.61,1.48,0.84,0.79,0.54,0.8,0.77,0.63,0.53,0.63,0.44,0.57
d_0,1.71,1.25,1.96,2.15,1.7,1.58,0.83,0.87,0.66,0.55,0.63,0.67,0.54,0.55,0.51,0.59
b_0,1.96,1.83,1.42,2.34,1.76,1.35,0.82,0.84,0.44,0.78,0.54,0.66,0.52,0.86,0.5,0.55
f_0,2.26,1.83,1.78,1.8,1.92,1.63,0.84,0.66,0.61,0.67,0.66,0.52,0.53,0.6,0.37,0.68
h_0,2.24,2.02,1.96,2.06,1.77,1.65,1.01,0.92,0.7,0.76,0.64,0.74,0.68,0.65,0.58,0.59
a_0,2.23,1.96,1.93,2.07,2.46,2.05,0.98,0.87,0.68,0.88,0.48,0.78,0.6,0.53,0.57,0.75
g_0,2.39,2.24,2.34,2.35,1.8,1.55,0.79,1.13,0.73,0.89,0.77,0.91,0.54,0.76,0.65,0.7
e_0,2.71,2.53,2.05,2.08,2.06,1.89,0.96,0.79,0.71,0.82,0.74,0.49,0.67,0.71,0.64,0.5
