,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,10595.17,4789.26,5406.59,9039.8,10467.29,49310.92,4477448.52,11518151.34,25705900.71,20993606.87,47950181.69,51881419.75,150163090.61,329253044.09,267188474.0,257499875.61
f_1,6896.72,12057.69,5541.27,7401.63,8572.14,41082.57,4371559.16,11019084.72,16508976.81,21093269.61,49475614.48,30342022.26,129946318.27,323160899.42,257866134.77,223113327.75
d_1,3587.27,4847.17,18445.17,5421.09,10660.2,50963.3,4650311.58,13414604.29,10475761.32,43697572.5,63302308.85,63549898.5,167429160.27,347343621.1,274186611.79,328941896.88
c_1,3559.98,4221.36,6252.05,21615.81,18198.27,56577.24,4052255.92,11353666.41,14414446.95,14449656.79,32437048.75,43876572.2,146486607.82,360016886.22,259656149.18,297129397.05
b_1,3799.67,4391.33,6005.87,7492.48,34463.48,96769.85,4022532.1,9925412.14,13907482.12,24703548.82,33393997.73,45894825.47,161170297.05,347046669.82,208796148.19,367452139.83
a_1,3632.78,4785.19,5895.32,8055.28,11105.07,250348.88,5065608.75,13497957.95,14984644.08,17865743.83,49407925.57,50322935.79,170723517.15,389212733.74,181346610.57,324831356.43
h_1,4153.09,6089.65,7019.89,8286.71,10329.91,52579.49,9481680.28,16137248.98,14781886.38,24291063.37,56571300.36,66688147.35,126178430.07,527780505.28,321148361.26,409239083.5
g_1,3902.17,4362.04,10741.71,7477.47,10475.79,56608.86,4731474.32,30238183.4,11278664.75,26422754.16,53955286.47,88299605.81,172198957.16,328915768.71,310938442.26,446914044.35
d_0,4032.22,5535.79,4805.56,14258.04,11054.51,52062.53,4568245.61,11832704.36,26205465.88,18514824.0,49517043.11,54069210.84,175817482.29,380558352.32,292165539.72,396857480.13
c_0,4538.92,5185.6,7669.04,6776.15,8999.34,52822.73,5542174.94,13072635.05,17765052.84,44451431.05,105727915.72,65085265.08,167401298.66,447933046.34,366358567.46,358859569.68
b_0,4110.59,5436.41,8047.22,8915.42,9570.55,50670.67,5241839.26,12906034.19,15879320.86,24413980.98,98737368.76,55687314.06,180894538.77,466389148.82,622571679.22,374903952.35
f_0,3412.67,3821.42,8219.63,8832.36,11246.07,73308.76,4687654.57,14128189.44,17478791.32,29500885.43,59610405.81,110965042.11,192467671.13,492726350.97,339856032.79,774346521.0
h_0,4087.27,7329.09,6924.08,7891.74,10347.15,51491.74,3965088.05,16220792.96,15851682.44,24855971.82,49686266.13,53159996.92,138560091.11,479253636.09,283805528.55,326487940.48
g_0,3601.83,4800.82,11548.91,8413.11,10001.08,48801.96,4971818.44,10783545.44,14312593.25,24297390.81,55868886.89,85651218.31,172270725.41,295242211.34,253053866.32,343964081.64
a_0,4541.32,5572.65,6439.17,9668.54,11196.35,47584.26,5145750.87,11602180.68,17293952.62,28592738.8,58151808.75,59713402.49,198811523.26,391143076.3,659003862.7,364587773.03
e_0,2821.63,5036.93,8040.27,9553.87,10576.9,68815.69,5806743.32,13077063.95,16555712.75,25428661.38,57828440.37,69269086.89,185472033.8,456710724.22,311416592.74,838516238.88
