,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.54,0.97,1.21,0.91,0.92,0.9,1.14,1.03,1.77,1.16,1.11,1.18,1.05,1.26,0.84,1.22
f_1,1.47,1.57,1.02,1.0,0.89,0.79,0.93,1.06,1.23,1.19,1.13,0.81,0.93,1.16,0.76,1.2
c_1,0.91,1.01,1.57,1.01,1.43,0.94,1.23,1.06,1.06,0.93,0.84,1.24,1.02,1.2,1.05,1.21
d_1,0.99,1.06,0.96,1.59,0.97,0.87,1.28,1.07,1.15,1.4,1.77,1.18,1.13,1.28,1.12,1.06
b_1,1.07,1.09,0.9,0.97,1.62,1.43,1.23,1.08,1.06,0.99,1.2,1.04,0.83,1.33,0.96,1.21
a_1,1.13,1.14,1.09,1.13,0.86,1.72,1.49,1.35,1.21,1.38,1.15,1.14,1.1,1.5,1.24,1.22
h_1,1.27,1.72,1.18,1.26,1.15,0.86,1.86,1.56,1.31,1.38,1.45,1.21,1.33,1.46,1.36,1.75
g_1,1.2,1.27,1.3,1.64,1.15,0.97,1.41,1.95,1.22,1.49,1.48,1.87,1.23,1.46,1.57,1.26
d_0,1.15,1.32,1.89,1.09,1.38,1.06,1.39,1.38,1.79,1.52,1.12,1.36,1.35,1.63,1.38,1.46
b_0,1.32,1.45,1.41,1.32,1.07,0.93,1.52,1.41,1.5,1.89,1.5,1.52,2.32,1.71,1.44,1.61
c_0,1.45,1.43,1.33,1.2,1.07,1.15,1.53,1.35,1.76,2.23,1.88,1.48,1.8,1.81,1.46,1.65
f_0,1.11,1.33,1.4,1.39,1.5,1.04,1.61,1.37,1.53,1.56,1.59,1.92,1.63,1.76,2.3,1.43
a_0,1.32,1.59,1.38,1.41,1.57,0.9,1.51,1.38,1.71,1.31,1.44,1.38,1.91,1.89,1.32,1.82
h_0,1.43,1.65,1.39,1.47,1.25,1.06,1.37,1.77,1.44,1.52,1.43,1.41,1.36,1.46,1.25,1.85
e_0,1.3,1.79,1.44,1.42,1.34,0.89,1.5,1.34,1.56,1.76,1.58,1.34,1.78,2.04,1.95,1.74
g_0,1.45,1.22,1.42,1.78,1.27,1.15,1.42,1.27,1.63,1.75,1.6,1.91,1.59,1.57,1.49,1.49
