,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.34,0.69,0.8,0.77,0.78,0.71,1.61,1.6,1.3,3.1,1.7,1.64,2.27,1.6,0.82,2.27
f_1,1.22,2.41,0.8,0.71,0.66,0.83,1.24,1.64,1.07,1.48,1.71,0.53,1.78,1.53,1.32,1.89
d_1,0.7,0.77,2.48,0.81,0.7,0.86,1.56,2.82,1.47,0.83,1.52,1.69,2.15,1.57,1.92,1.59
c_1,0.81,0.79,0.73,2.69,1.23,0.64,1.39,0.64,1.67,1.3,1.5,1.86,1.99,1.47,1.65,2.25
b_1,0.73,0.83,0.82,0.68,2.88,1.29,1.72,1.48,1.15,1.66,0.53,1.77,2.21,1.49,1.61,2.0
a_1,0.84,0.67,0.73,0.85,0.58,3.19,1.66,1.62,1.54,1.33,2.05,2.02,2.22,,1.92,2.29
h_1,0.84,1.39,0.95,1.05,0.87,0.83,3.88,1.93,2.66,2.26,2.47,2.47,1.83,2.05,2.43,3.3
c_0,1.06,1.1,0.9,0.56,0.94,1.0,2.49,3.66,2.43,2.25,4.03,2.54,3.33,3.06,2.72,3.14
g_1,0.79,1.04,1.29,0.89,1.43,1.08,1.69,2.0,4.38,1.93,2.29,2.71,2.15,1.98,1.9,1.28
d_0,0.78,1.23,0.61,1.84,0.98,0.93,1.67,2.12,2.14,3.66,2.51,2.14,3.2,2.1,2.19,3.32
b_0,0.92,1.11,1.2,1.03,1.11,0.65,1.96,2.12,2.09,2.18,3.89,2.64,2.3,4.48,2.53,2.77
f_0,0.85,0.69,1.08,1.13,1.06,1.14,2.04,2.38,2.11,2.6,2.09,4.08,2.83,2.68,3.94,2.71
h_0,0.99,1.34,1.03,1.07,1.06,0.72,1.28,1.77,2.55,1.86,2.51,2.18,1.41,1.87,1.98,2.97
a_0,1.07,1.16,1.18,1.23,1.09,,1.91,2.17,1.8,2.61,1.87,1.99,3.38,4.57,2.42,2.63
e_0,0.54,1.31,0.95,1.03,0.93,1.06,2.39,2.37,2.56,2.33,2.58,2.13,3.57,2.55,4.84,2.8
g_0,0.85,1.08,1.47,1.01,0.94,0.69,1.5,2.09,1.51,2.13,2.47,2.84,2.65,2.35,2.45,1.97
