,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,0.38,0.66,0.72,0.83,0.65,0.21,0.14,0.14,0.24,0.14,0.19,0.11,0.14,0.4,0.11
f_1,0.59,0.17,0.63,0.76,0.64,0.52,0.13,0.13,0.12,0.24,0.14,0.26,0.07,0.11,0.14,0.13
d_1,0.88,0.72,0.15,0.72,0.67,0.6,0.16,0.26,0.11,0.1,0.12,0.12,0.1,0.12,0.11,0.06
c_1,0.53,0.65,0.99,0.14,0.6,0.64,0.21,0.07,0.31,0.2,0.14,0.12,0.09,0.12,0.14,0.1
b_1,0.65,0.86,0.67,0.33,0.13,0.78,0.21,0.14,0.19,0.25,0.33,0.16,0.1,0.19,0.12,0.09
a_1,0.72,0.75,0.67,0.73,0.34,0.1,0.24,0.16,0.12,0.19,0.14,0.13,0.1,0.44,0.13,0.12
h_1,0.59,0.47,0.49,0.61,0.55,0.48,0.06,0.13,0.1,0.15,0.11,0.11,0.1,0.09,0.08,0.08
d_0,0.3,0.5,1.13,0.48,0.59,0.46,0.18,0.07,0.13,0.18,0.11,0.12,0.08,0.12,0.12,0.11
c_0,0.6,0.56,0.28,1.31,0.54,0.59,0.15,0.16,0.06,0.15,0.1,0.1,0.07,0.11,0.1,0.07
g_1,0.51,0.61,0.5,0.65,0.46,0.74,0.11,0.12,0.1,0.05,0.11,0.09,0.05,0.1,0.09,0.1
b_0,0.47,0.54,0.47,0.65,0.79,0.53,0.14,0.12,0.06,0.16,0.06,0.1,0.08,0.11,0.09,0.08
f_0,0.52,1.01,0.49,0.56,0.51,0.55,0.14,0.11,0.11,0.09,0.09,0.05,0.08,0.08,0.08,0.04
h_0,0.46,0.61,0.48,0.56,0.5,0.49,0.21,0.1,0.11,0.16,0.1,0.09,0.12,0.09,0.1,0.07
a_0,0.45,0.55,0.48,0.63,0.71,1.01,0.13,0.12,0.09,0.2,0.05,0.11,0.08,0.04,0.09,0.05
e_0,0.79,0.87,0.5,0.5,0.41,0.44,0.18,0.12,0.11,0.11,0.1,0.05,0.07,0.1,0.04,0.06
g_0,0.58,0.53,0.47,0.53,0.56,0.47,0.12,0.12,0.11,0.22,0.1,0.1,0.06,0.09,0.1,0.11
