,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.74,1.01,0.85,0.83,0.67,0.54,0.41,0.43,0.64,0.42,0.4,0.35,0.32,0.32,0.36
f_1,1.36,1.0,1.0,0.85,0.74,0.84,0.38,0.45,0.36,0.36,0.4,0.31,0.28,0.31,0.27,0.3
d_1,0.99,1.0,1.0,0.97,0.79,0.84,0.52,0.66,0.39,0.43,0.37,0.39,0.37,0.32,0.38,0.24
c_1,1.18,1.18,1.03,1.0,1.25,0.73,0.52,0.43,0.55,0.32,0.44,0.45,0.38,0.36,0.37,0.38
b_1,1.2,1.35,1.27,0.8,1.0,1.35,0.68,0.5,0.39,0.51,0.3,0.47,0.43,0.37,0.4,0.4
a_1,1.49,1.18,1.19,1.38,0.74,1.0,0.74,0.59,0.56,0.5,0.7,0.56,0.57,,0.47,0.53
h_1,1.83,2.66,1.91,1.97,1.51,1.3,1.0,0.76,1.12,0.93,0.91,0.86,0.74,0.67,0.65,0.84
c_0,2.39,2.53,1.59,2.12,1.87,1.73,1.31,1.0,1.18,0.95,1.3,0.93,0.99,0.97,0.82,0.8
g_1,2.14,2.7,2.52,1.85,2.66,1.73,0.88,0.9,1.0,0.87,0.9,0.97,0.64,0.78,0.64,0.6
d_0,1.58,2.81,2.25,3.22,1.97,1.85,1.04,1.04,1.14,1.0,1.07,0.81,0.97,0.74,0.77,0.85
b_0,2.29,2.49,2.64,2.3,3.81,1.24,1.17,0.8,1.07,0.97,1.0,1.01,0.74,1.34,0.82,0.75
f_0,2.33,3.26,2.56,2.38,2.07,1.86,1.21,1.11,1.02,1.15,0.92,1.0,0.91,1.07,1.15,0.74
h_0,2.71,3.47,2.76,2.64,2.39,1.67,1.33,1.01,1.57,1.03,1.32,1.06,1.0,0.83,0.78,0.96
a_0,3.02,3.2,3.18,3.16,2.64,,1.43,1.1,1.22,1.38,0.78,0.99,1.26,1.0,0.91,0.88
e_0,2.71,3.96,2.69,2.79,2.44,2.12,1.54,1.28,1.58,1.31,1.24,0.87,1.3,1.04,1.0,0.92
g_0,2.71,3.33,4.09,2.65,2.48,1.76,1.18,1.22,1.71,1.16,1.31,1.38,1.01,1.1,1.03,1.0
