,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.64,0.39,0.28,0.47,0.44,0.32,0.69,1.52,0.83,0.71,0.84,0.92,1.06,0.97,0.17,0.81
f_1,0.68,3.85,0.34,0.4,0.28,0.35,0.92,0.71,0.92,0.55,0.91,0.18,0.76,0.89,0.72,1.05
d_1,0.42,0.42,4.28,0.25,0.43,0.4,0.77,0.12,1.48,0.83,0.74,0.87,0.84,0.81,0.66,0.84
c_1,0.42,0.3,0.42,4.55,0.83,0.35,0.57,0.75,0.09,0.61,0.75,0.82,0.92,0.66,0.86,0.75
b_1,0.28,0.45,0.36,0.44,5.17,0.69,0.72,0.99,0.73,0.91,0.25,0.73,0.8,0.73,0.89,0.73
a_1,0.43,0.48,0.37,0.4,0.27,6.73,0.94,0.93,0.59,0.48,0.77,0.68,0.84,0.22,1.14,0.87
h_1,0.59,1.04,0.86,0.61,0.63,0.47,4.99,1.01,1.33,1.6,1.46,1.25,0.54,1.42,1.05,1.76
d_0,0.68,0.78,0.22,1.5,0.67,0.61,0.98,3.43,1.01,1.08,1.31,1.44,1.6,1.11,1.29,1.32
c_0,0.69,0.88,0.91,0.24,0.52,0.86,1.3,0.96,3.74,1.28,2.67,1.54,1.67,1.46,1.55,1.74
g_1,0.57,0.54,1.38,0.62,0.5,0.72,1.17,1.1,1.24,6.49,1.17,2.19,1.41,1.15,2.13,0.47
b_0,0.75,0.76,0.85,0.65,0.14,0.79,1.45,1.52,1.54,1.31,4.14,1.57,1.57,2.47,1.78,1.71
f_0,0.59,0.27,0.84,0.89,0.62,0.82,1.33,1.44,1.62,1.84,1.81,4.41,1.84,1.55,3.17,1.89
h_0,0.57,0.96,0.64,0.66,0.65,0.72,0.59,1.6,1.5,1.86,1.33,1.83,0.62,1.26,1.78,1.87
a_0,0.65,0.92,0.75,0.84,0.43,,1.89,1.28,1.39,1.73,1.2,1.96,1.65,6.16,1.51,1.91
e_0,,0.76,0.88,0.69,0.79,0.81,1.18,1.47,1.48,1.66,2.01,1.94,2.16,1.65,6.59,1.55
g_0,0.6,0.51,1.19,0.72,0.77,0.47,1.13,1.17,1.4,0.56,1.5,2.69,1.38,1.53,1.39,0.85
