,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.53,0.7,0.63,0.65,1.13,0.39,0.84,0.73,0.67,0.36,0.83,0.6,0.85,0.66,0.58,0.73
f_1,0.73,1.53,0.76,1.05,0.55,0.42,0.72,0.77,0.71,0.73,0.41,0.77,0.73,0.38,0.68,0.7
d_1,0.62,0.74,1.54,0.62,0.66,0.53,0.86,0.69,0.58,1.3,0.81,0.96,0.85,0.78,0.69,0.74
e_1,0.8,0.63,0.63,1.55,0.69,0.59,0.72,0.75,1.38,0.76,0.82,0.79,0.93,0.53,0.71,0.93
b_1,0.58,0.78,0.66,0.69,1.57,1.1,0.93,0.68,0.86,0.77,0.78,0.43,0.82,0.65,0.63,0.72
a_1,1.02,0.86,0.72,0.64,0.53,1.75,0.8,0.93,0.93,0.87,0.81,0.84,0.9,0.94,0.48,0.97
h_1,0.89,1.19,0.91,0.87,0.74,0.79,1.71,1.13,1.02,1.11,0.92,1.03,0.84,0.78,0.94,1.28
g_1,0.83,0.86,1.33,0.83,0.87,0.58,1.06,1.8,1.01,1.06,1.54,0.96,0.97,1.01,0.91,0.84
d_0,1.65,0.94,0.66,0.79,0.91,0.72,0.99,0.94,1.6,0.82,1.2,0.97,1.06,0.92,0.91,1.05
c_0,0.86,1.05,0.94,0.87,0.72,0.77,1.13,1.05,1.15,1.63,1.16,1.94,1.24,1.12,1.09,1.31
f_0,1.07,0.78,1.13,0.85,0.92,0.83,1.12,0.87,0.98,1.13,1.65,1.21,1.16,1.61,1.17,1.07
b_0,1.07,1.19,0.95,0.96,0.65,0.61,1.11,1.13,1.19,0.94,0.95,1.65,1.38,1.08,1.65,1.2
h_0,0.96,1.29,1.07,0.95,0.88,0.76,0.87,1.54,1.24,1.14,1.09,1.02,0.95,0.96,1.01,1.47
e_0,1.12,1.46,1.09,0.55,1.08,0.74,1.37,1.08,1.01,0.92,0.92,1.11,1.39,1.79,1.06,1.14
a_0,1.16,1.06,1.22,0.91,0.87,0.6,1.23,1.05,1.15,0.99,0.81,0.78,1.28,0.87,1.71,1.25
g_0,1.13,0.94,1.44,0.88,1.0,0.68,1.01,0.85,1.19,1.17,1.43,1.09,1.2,0.97,0.96,0.97
