,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,0.82,1.09,1.07,0.8,0.71,0.91,0.65,0.74,0.66,0.77,0.7,0.65,0.73,0.58
f_1,1.27,1.0,0.9,1.05,0.77,0.72,0.64,0.61,0.63,0.68,0.66,0.6,0.46,0.49,0.51,0.69
d_1,1.23,1.11,1.0,0.82,0.97,0.87,0.67,0.54,0.83,0.51,0.61,0.61,0.62,0.6,0.5,0.45
c_1,0.92,0.95,1.24,1.0,1.31,0.83,0.7,0.48,0.51,0.65,0.64,0.59,0.6,0.48,0.62,0.56
b_1,0.93,1.3,1.03,0.76,1.0,1.43,0.77,0.76,0.81,0.92,0.89,0.73,0.65,0.69,0.6,0.54
a_1,1.25,1.38,1.15,1.21,0.7,1.0,1.02,0.85,0.64,0.63,0.72,0.66,0.67,0.8,0.69,0.82
h_1,1.43,1.57,1.45,1.38,1.25,1.02,1.0,0.99,0.87,1.07,0.94,0.86,0.74,0.75,0.61,0.9
d_0,1.13,1.53,1.73,1.9,1.45,1.19,1.01,1.0,0.93,1.09,0.87,0.95,0.93,0.83,0.85,0.91
c_0,1.62,1.64,1.17,1.8,1.19,1.55,1.18,1.01,1.0,1.01,1.24,0.96,0.85,0.9,0.89,0.84
g_1,1.27,1.44,1.99,1.53,1.09,1.6,0.94,0.92,0.92,1.0,0.95,1.09,0.71,0.69,0.87,0.84
b_0,1.48,1.57,1.57,1.59,1.26,1.29,1.09,1.1,0.78,1.09,1.0,0.99,0.95,1.29,0.86,0.92
f_0,1.32,1.7,1.63,1.76,1.36,1.53,1.16,1.05,1.06,0.92,0.96,1.0,1.02,0.84,1.19,0.73
h_0,1.53,2.15,1.6,1.78,1.54,1.37,1.36,1.11,1.14,1.42,1.0,1.0,1.0,0.85,0.92,1.07
a_0,1.61,1.97,1.77,1.98,1.72,1.27,1.27,1.14,1.11,1.52,0.76,1.21,1.13,1.0,0.96,0.93
e_0,1.39,2.24,1.97,1.57,1.62,1.46,1.61,1.16,1.15,1.13,1.28,0.84,1.1,1.01,1.0,1.03
g_0,1.71,1.49,2.08,1.65,1.8,1.32,1.14,1.08,1.16,1.26,1.16,1.34,0.88,1.06,1.04,1.0
