,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.11,4.68,4.38,3.89,3.95,4.1,1.18,0.88,0.74,1.94,1.0,0.76,0.56,0.72,0.38,0.89
f_1,4.41,1.11,4.21,5.02,4.6,3.56,0.95,0.89,1.42,0.93,0.77,1.36,0.46,0.85,0.77,0.71
e_1,5.13,2.48,1.12,4.98,5.26,4.81,1.34,1.09,1.6,0.96,1.07,1.3,0.7,1.0,0.86,1.93
c_1,6.63,6.11,4.56,1.12,6.66,4.79,1.29,1.62,1.4,0.59,0.97,0.93,0.75,1.07,0.78,1.02
b_1,5.6,7.72,5.52,3.07,1.13,7.05,2.28,1.39,2.0,1.14,2.48,1.21,0.94,1.42,0.98,1.21
a_1,9.02,8.4,8.38,9.5,3.95,1.15,2.96,1.96,2.63,1.92,1.84,2.1,1.59,3.25,1.55,1.54
h_1,12.14,14.27,15.51,19.72,14.57,14.79,1.73,2.97,4.06,3.52,2.87,3.23,3.28,2.29,2.2,2.45
c_0,9.84,22.02,21.0,32.07,16.54,17.94,5.04,2.16,5.83,5.24,4.29,3.78,2.93,4.03,2.63,3.28
g_1,16.33,22.16,19.46,20.12,18.99,15.26,3.43,3.49,1.79,4.03,3.55,3.16,2.16,3.8,3.06,2.62
d_0,28.92,18.3,10.25,18.71,24.29,19.58,6.46,4.27,7.31,2.28,4.98,3.68,2.84,4.8,3.35,3.82
b_0,16.54,21.49,19.46,34.74,30.29,19.19,6.77,2.38,6.61,4.68,2.24,5.32,3.45,4.53,3.06,4.32
f_0,20.93,50.25,21.66,26.77,19.82,21.3,6.31,4.78,4.48,5.24,4.39,2.25,3.54,5.23,1.99,4.71
h_0,25.95,28.54,24.43,28.89,29.63,25.17,11.75,5.49,7.54,5.78,5.85,5.54,6.07,4.98,4.29,4.53
a_0,26.12,36.04,29.95,42.91,36.93,57.0,7.98,4.72,9.25,8.87,3.18,5.84,4.54,2.46,4.06,6.12
g_0,28.06,38.78,33.76,37.41,33.28,28.09,7.91,6.38,10.84,8.11,5.97,6.32,3.56,5.84,5.97,6.8
e_0,28.27,45.74,55.55,28.06,33.28,36.57,9.3,7.7,7.8,9.5,6.35,3.29,4.93,6.5,4.02,2.6
