,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.65,0.55,0.57,0.56,0.5,0.26,0.34,0.27,0.24,0.29,0.3,0.19,0.24,0.23,0.25
e_1,0.43,0.41,0.59,0.69,0.63,0.58,0.32,0.38,0.31,0.27,0.27,0.33,0.23,0.28,0.32,0.24
d_1,0.64,0.64,0.38,0.62,0.59,0.52,0.29,0.22,0.32,0.28,0.27,0.25,0.21,0.27,0.27,0.18
c_1,0.62,0.49,0.69,0.38,0.65,0.53,0.34,0.33,0.19,0.28,0.24,0.25,0.24,0.26,0.28,0.21
b_1,0.63,0.6,0.65,0.42,0.36,0.71,0.34,0.29,0.25,0.35,0.34,0.28,0.25,0.24,0.25,0.25
a_1,0.69,0.58,0.65,0.6,0.38,0.3,0.37,0.35,0.27,0.28,0.32,0.26,0.24,0.28,0.25,0.24
h_1,0.64,0.55,0.54,0.55,0.56,0.52,0.23,0.31,0.25,0.24,0.27,0.25,0.23,0.23,0.23,0.22
g_1,0.65,0.57,0.6,0.53,0.56,0.51,0.26,0.21,0.25,0.24,0.25,0.26,0.18,0.25,0.27,0.22
d_0,0.55,0.42,0.65,0.66,0.61,0.54,0.32,0.34,0.23,0.25,0.27,0.29,0.25,0.24,0.28,0.23
c_0,0.59,0.59,0.41,0.81,0.54,0.51,0.32,0.29,0.35,0.22,0.31,0.29,0.23,0.3,0.25,0.23
b_0,0.57,0.58,0.48,0.74,0.63,0.54,0.31,0.31,0.32,0.17,0.21,0.23,0.21,0.28,0.23,0.19
f_0,0.73,0.52,0.59,0.58,0.52,0.54,0.29,0.24,0.24,0.25,0.28,0.2,0.22,0.26,0.28,0.16
h_0,0.63,0.57,0.54,0.57,0.54,0.49,0.34,0.32,0.25,0.22,0.26,0.24,0.23,0.24,0.22,0.22
a_0,0.59,0.58,0.51,0.61,0.63,0.51,0.35,0.32,0.28,0.22,0.18,0.24,0.21,0.18,0.22,0.21
e_0,0.69,0.6,0.52,0.57,0.53,0.54,0.29,0.26,0.25,0.26,0.28,0.16,0.22,0.25,0.18,0.19
g_0,0.6,0.55,0.56,0.66,0.58,0.49,0.25,0.32,0.27,0.22,0.27,0.26,0.19,0.22,0.24,0.22
