,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,12.95,0.5,1.72,0.66,0.53,0.54,0.9,0.77,0.92,0.77,0.49,0.76,0.9,0.9,1.03,0.57
d_1,0.74,15.29,0.63,0.46,0.61,0.55,0.86,1.04,0.57,2.41,1.07,1.4,1.16,1.02,1.09,1.05
e_1,0.71,0.51,12.62,0.79,0.61,0.71,0.92,0.88,2.14,0.89,0.98,1.06,1.07,0.9,1.02,0.62
c_1,0.63,0.66,0.51,13.77,1.8,0.51,0.94,0.76,0.76,0.4,0.86,0.67,0.97,0.93,0.84,0.91
b_1,0.65,0.62,0.58,0.67,14.36,1.72,1.02,0.88,0.81,0.81,0.98,0.51,0.81,1.0,0.59,1.09
a_1,0.7,0.83,0.56,0.77,0.5,22.9,0.85,1.11,0.93,0.95,1.2,1.08,1.03,0.94,0.52,1.06
h_1,1.2,0.75,0.61,0.91,0.64,0.65,3.75,1.29,1.05,0.92,0.98,1.13,0.65,1.63,1.03,1.37
g_1,0.55,1.74,0.62,0.75,0.63,0.74,0.86,4.37,0.77,1.2,1.94,1.21,1.06,0.71,0.87,1.31
d_0,0.7,0.54,0.65,2.32,0.77,0.6,1.07,1.0,2.32,0.65,0.83,1.0,0.91,1.1,1.27,1.05
c_0,0.75,0.92,0.62,0.52,0.57,0.84,1.16,1.33,1.25,2.65,1.48,3.15,1.22,1.25,1.68,1.53
f_0,0.45,1.12,0.53,0.81,0.81,0.84,1.26,1.37,0.98,1.33,2.94,1.24,1.31,1.1,1.3,3.27
b_0,0.92,1.08,0.62,0.94,0.45,0.65,1.11,1.01,1.11,1.0,1.24,2.73,1.53,1.23,3.17,1.36
h_0,1.35,0.91,0.68,0.65,0.72,0.68,0.65,1.46,0.93,0.99,1.15,1.17,0.69,1.56,1.11,1.02
g_0,0.53,1.69,0.68,0.71,0.62,0.67,1.13,0.94,0.87,1.23,2.1,1.2,0.93,0.78,1.32,1.34
a_0,0.78,1.16,0.69,0.77,0.65,0.46,1.39,1.17,1.25,0.98,1.38,1.02,1.34,1.36,3.65,1.03
e_0,0.74,1.16,0.26,1.04,0.82,0.85,1.47,1.27,0.94,1.1,1.24,1.31,1.33,1.51,1.25,3.76
