,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.97,0.81,1.16,0.94,0.68,0.7,1.03,0.64,0.84,0.65,0.68,0.59,0.73,0.63,0.66
d_1,1.04,1.0,1.04,0.96,0.9,0.83,0.7,0.78,0.85,0.53,0.7,0.6,0.61,0.43,0.67,0.57
f_1,1.24,0.97,1.0,1.05,0.76,0.91,0.59,0.56,0.61,0.66,0.57,0.53,0.54,0.65,0.54,0.58
c_1,0.87,1.04,0.96,1.0,1.52,0.76,0.75,0.45,0.55,0.62,0.55,0.68,0.59,0.53,0.56,0.49
b_1,1.05,1.1,1.32,0.65,1.0,1.6,0.71,0.68,0.68,0.74,0.61,0.57,0.68,0.59,0.5,0.48
a_1,1.45,1.19,1.1,1.32,0.63,1.0,0.93,0.82,0.76,0.98,0.94,0.81,0.7,0.68,0.58,0.66
h_1,1.43,1.46,1.68,1.36,1.37,1.02,1.0,0.93,0.91,1.04,0.81,0.8,0.87,0.83,0.79,0.82
d_0,0.98,1.36,1.72,2.27,1.5,1.2,1.11,1.0,0.81,1.02,1.03,0.83,0.9,0.84,0.85,0.86
c_0,1.55,1.18,1.63,1.81,1.45,1.26,1.09,1.21,1.0,0.95,1.36,1.01,0.89,0.89,0.94,0.87
g_1,1.25,1.88,1.43,1.58,1.37,1.05,0.97,1.0,1.06,1.0,1.08,1.26,0.69,0.87,0.9,0.78
b_0,1.5,1.44,1.76,1.8,1.6,1.02,1.23,0.95,0.73,0.96,1.0,0.96,0.99,0.96,0.77,1.18
f_0,1.5,1.63,1.67,1.62,1.71,1.21,1.22,1.16,1.04,0.79,1.05,1.0,0.99,0.84,1.08,0.84
h_0,1.68,1.67,1.8,1.71,1.46,1.39,1.15,1.13,1.07,1.49,1.01,1.0,1.0,1.1,0.73,0.79
g_0,1.34,2.3,1.68,1.95,1.56,1.49,1.18,1.18,1.11,1.19,0.98,1.22,0.91,1.0,0.86,0.88
e_0,1.63,1.48,2.0,1.87,1.94,1.68,1.29,1.21,1.18,1.04,1.31,0.93,1.31,1.17,1.0,0.88
a_0,1.6,1.72,1.79,2.06,1.94,1.68,1.31,1.19,1.15,1.3,0.87,1.2,1.26,1.13,1.12,1.0
