,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.43,1.25,1.23,1.14,1.15,1.13,0.28,0.21,0.2,0.33,0.22,0.2,0.22,0.15,0.2,0.1
f_1,1.06,0.43,1.11,1.21,1.17,1.08,0.24,0.38,0.25,0.25,0.23,0.36,0.22,0.12,0.26,0.18
e_1,1.26,0.77,0.41,1.5,1.26,1.27,0.38,0.39,0.24,0.26,0.28,0.33,0.26,0.18,0.39,0.2
c_1,1.57,1.45,0.96,0.4,1.17,1.06,0.38,0.38,0.39,0.13,0.21,0.25,0.21,0.18,0.23,0.19
b_1,1.62,1.44,1.3,0.78,0.37,1.16,0.49,0.48,0.39,0.27,0.46,0.3,0.3,0.23,0.24,0.23
a_1,1.67,1.98,1.76,1.36,0.76,0.32,0.57,0.51,0.43,0.33,0.44,0.34,0.5,0.27,0.36,0.31
h_1,1.93,2.11,2.19,2.13,2.31,1.71,0.3,0.58,0.47,0.46,0.46,0.41,0.44,0.41,0.42,0.29
g_1,2.49,2.49,2.6,2.33,2.19,2.17,0.53,0.28,0.47,0.5,0.48,0.43,0.46,0.25,0.44,0.4
c_0,1.43,2.53,2.52,4.61,2.71,2.67,0.66,0.76,0.32,0.94,0.5,0.45,0.5,0.37,0.48,0.32
d_0,3.64,2.28,1.52,2.7,2.57,2.39,0.75,0.85,0.57,0.34,0.59,0.6,0.65,0.4,0.56,0.39
b_0,1.88,2.7,2.34,3.85,4.15,2.55,0.61,0.64,0.3,0.64,0.32,0.5,0.51,0.36,0.49,0.35
f_0,2.46,3.93,2.9,2.9,3.03,2.23,0.72,0.45,0.53,0.62,0.5,0.29,0.52,0.39,0.5,0.26
a_0,2.46,2.7,2.84,3.42,3.72,4.04,0.91,0.71,0.5,0.67,0.36,0.63,0.3,0.42,0.63,0.49
h_0,2.6,3.03,2.98,3.01,2.95,2.94,1.09,0.77,0.7,0.63,0.59,0.64,0.51,0.61,0.51,0.43
e_0,3.02,5.34,4.02,3.23,3.19,2.47,0.84,0.64,0.61,0.73,0.72,0.31,0.64,0.52,0.27,0.36
g_0,3.09,3.57,3.57,3.05,3.35,2.92,0.7,1.1,0.74,0.82,0.66,0.58,0.7,0.41,0.62,0.62
