,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.53,1.03,1.32,0.9,0.96,0.78,1.05,1.21,1.11,1.08,1.12,0.77,1.03,1.14,0.77,1.14
c_1,1.04,1.56,0.92,1.48,1.06,0.82,1.02,1.03,0.81,1.09,0.78,1.04,0.88,1.22,0.99,1.13
e_1,1.06,1.22,1.57,1.02,0.84,0.77,1.25,1.85,1.13,1.05,1.18,1.14,1.03,1.29,0.77,1.22
b_1,1.12,0.9,0.96,1.59,1.03,1.39,1.2,1.1,1.16,1.12,0.98,1.1,0.84,1.18,1.08,1.14
d_1,1.04,0.88,1.1,0.95,1.61,0.91,1.15,1.09,1.76,0.96,1.42,1.32,1.21,1.25,1.07,1.17
a_1,1.22,1.1,1.19,0.88,1.08,1.74,1.34,1.35,1.26,1.2,1.26,1.28,0.91,1.36,1.15,1.39
h_1,1.53,1.44,1.24,1.18,1.24,0.98,1.89,1.46,1.38,1.66,1.38,1.34,1.19,1.5,1.13,1.66
d_0,1.41,1.91,1.05,1.51,1.03,0.84,1.41,1.82,1.15,1.31,1.15,1.36,1.18,1.66,1.44,1.46
c_0,1.42,1.3,1.36,1.11,1.2,1.09,1.6,1.74,1.9,1.29,2.25,1.57,1.87,1.8,1.45,1.48
g_1,1.3,1.28,1.26,1.18,1.72,0.92,1.15,1.44,1.63,1.95,1.42,1.81,1.36,1.52,1.32,1.35
b_0,1.55,1.61,1.26,1.12,1.26,0.96,1.6,1.78,1.45,1.44,1.91,1.5,2.35,1.73,1.37,1.58
f_0,1.51,1.48,1.22,1.32,1.25,1.18,1.54,1.68,1.62,1.25,1.59,1.91,1.44,1.8,2.11,1.39
a_0,1.63,1.57,1.42,1.5,1.2,1.04,1.7,1.85,1.34,1.61,1.44,1.5,1.95,1.89,1.44,1.45
h_0,1.75,1.42,1.25,1.39,1.41,1.09,1.25,1.6,1.38,1.64,1.56,1.36,1.45,1.55,1.35,1.76
e_0,1.79,1.48,1.33,1.34,1.41,1.14,1.75,1.52,1.56,1.38,1.64,1.26,1.44,1.87,1.96,1.64
g_0,1.38,1.4,1.17,1.34,1.75,1.25,1.57,1.62,1.75,1.34,1.71,2.04,1.45,1.77,1.75,1.52
