,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.21,0.88,0.95,0.86,0.57,0.39,0.44,0.45,0.39,0.35,0.36,0.31,0.33,0.32,0.27
e_1,0.83,1.0,0.94,1.06,0.9,0.72,0.48,0.65,0.44,0.39,0.43,0.48,0.36,0.28,0.37,0.38
d_1,1.15,1.06,1.0,0.83,0.95,0.69,0.47,0.41,0.34,0.61,0.4,0.37,0.31,0.37,0.26,0.32
c_1,1.05,0.94,1.22,1.0,1.22,0.68,0.46,0.29,0.48,0.32,0.36,0.42,0.36,0.34,0.29,0.27
b_1,1.16,1.11,1.05,0.82,1.0,1.33,0.58,0.48,0.46,0.48,0.43,0.41,0.33,0.31,0.38,0.3
a_1,1.75,1.39,1.44,1.45,0.75,1.0,1.02,0.62,0.83,0.5,0.73,0.5,0.59,0.46,0.4,0.44
h_1,2.54,2.06,2.15,2.09,1.66,1.11,1.0,0.74,1.07,0.79,0.81,0.69,0.7,0.55,0.74,0.63
d_0,2.23,1.52,2.13,3.37,2.15,1.64,1.33,1.0,0.94,0.85,0.96,0.89,0.74,0.68,0.83,0.82
g_1,2.3,2.27,2.81,2.06,2.1,1.32,0.95,1.02,1.0,1.01,0.91,1.13,0.75,0.83,0.7,0.68
c_0,2.5,2.53,1.69,2.83,2.05,1.96,1.31,1.09,1.01,1.0,1.37,1.01,0.96,0.76,0.82,0.79
b_0,2.68,2.46,2.37,2.97,2.18,1.5,1.24,1.07,1.11,0.76,1.0,0.88,0.93,1.13,0.72,0.72
f_0,2.89,1.95,2.7,2.62,2.48,2.06,1.45,1.1,0.89,0.98,1.15,1.0,0.94,0.94,0.62,1.18
h_0,3.4,2.72,3.05,2.86,2.8,1.84,1.39,1.3,1.32,1.09,1.12,1.03,1.0,0.88,1.1,0.71
a_0,2.81,3.54,2.85,3.03,3.37,2.07,1.87,1.44,1.22,1.2,0.92,1.2,1.05,1.0,1.18,0.98
g_0,3.26,2.67,3.97,3.29,2.75,2.39,1.39,1.26,1.45,1.2,1.34,1.61,0.85,0.89,1.0,0.91
e_0,3.99,2.65,2.87,3.9,3.19,2.42,1.51,1.28,1.52,1.32,1.49,0.85,1.35,1.05,1.02,1.0
