,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,6.02,2.98,2.42,3.35,2.77,3.13,11.21,19.91,10.41,13.64,13.77,14.09,19.65,14.52,19.86,11.3
f_1,4.66,6.42,2.64,2.89,2.42,2.32,9.12,13.74,9.64,13.01,13.24,9.08,19.02,14.07,18.39,8.58
d_1,2.69,3.13,6.64,2.27,2.55,2.83,11.02,10.4,10.95,22.23,16.41,14.49,21.79,15.33,21.25,18.09
c_1,2.53,2.77,2.76,6.69,4.63,3.18,10.06,12.0,8.9,8.41,9.95,12.28,19.54,12.51,19.24,14.44
b_1,2.51,2.77,2.8,2.83,7.34,5.27,10.73,11.59,10.04,13.25,9.87,14.16,20.04,9.94,17.72,16.77
a_1,2.36,2.79,2.96,3.25,3.33,10.75,9.62,12.31,10.69,14.48,13.67,14.75,21.51,12.19,19.38,14.26
h_1,2.84,3.98,3.33,2.8,2.65,2.47,19.34,13.43,14.07,14.24,13.74,14.37,16.78,17.17,30.95,16.77
d_0,2.97,3.0,2.3,5.06,3.27,3.18,9.92,19.11,10.59,10.12,13.11,13.54,23.63,14.51,18.22,13.48
g_1,2.62,2.62,4.29,3.27,2.86,2.86,10.12,11.78,24.34,14.44,14.27,22.11,21.49,16.13,21.16,19.56
c_0,3.19,3.21,3.01,2.9,2.83,3.14,11.23,15.37,12.88,20.69,26.59,17.06,24.87,21.04,23.85,15.75
b_0,3.46,3.38,2.99,3.37,2.46,2.01,12.36,13.49,12.93,13.58,23.45,15.62,26.85,31.37,22.93,15.79
f_0,2.22,2.45,3.7,3.23,3.3,3.5,12.3,13.73,12.95,14.35,15.45,24.32,24.41,16.25,26.28,34.63
h_0,3.04,3.89,3.25,3.08,3.14,2.86,8.21,11.94,14.17,12.9,14.75,14.52,18.41,17.12,25.79,16.21
a_0,3.14,3.64,3.49,3.17,2.61,1.83,12.05,12.81,13.01,14.65,16.97,16.6,26.36,31.58,28.62,14.9
g_0,2.42,2.81,4.85,2.83,3.09,3.04,9.78,9.88,8.85,14.8,14.29,21.71,22.06,12.34,19.92,17.95
e_0,2.33,3.65,3.65,3.21,2.84,2.64,12.47,11.58,12.7,13.68,15.66,15.73,22.97,14.9,25.72,32.39
