,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.49,1.3,1.87,1.26,1.48,1.49,3.04,5.18,3.28,3.12,3.51,3.78,3.93,3.71,3.43,4.09
f_1,2.23,2.54,1.37,1.56,1.27,1.32,2.49,3.0,3.07,2.98,3.14,2.24,3.63,3.61,2.38,3.99
c_1,1.25,1.51,2.54,1.48,2.44,1.41,2.64,2.6,2.11,2.47,2.22,3.17,3.81,3.3,3.14,4.02
d_1,1.62,1.47,1.31,2.56,1.64,1.36,2.82,2.41,4.66,2.61,3.74,3.35,4.01,2.88,3.42,3.51
b_1,1.41,1.71,1.23,1.48,2.76,2.61,3.0,2.94,3.84,2.9,2.58,3.15,4.06,2.62,3.21,3.92
a_1,1.5,1.66,1.52,1.63,1.05,3.15,3.37,3.44,2.93,3.09,3.36,3.67,4.37,2.75,3.94,4.09
h_1,1.46,1.98,1.66,1.58,1.4,1.27,4.21,3.1,3.07,3.91,3.19,3.25,3.81,3.46,3.66,4.96
d_0,1.3,1.56,2.47,1.29,1.63,1.45,2.86,4.21,2.67,2.97,3.23,3.54,4.65,3.36,3.7,4.53
c_0,1.52,1.86,1.57,1.51,1.07,1.66,3.08,3.74,4.24,3.01,5.55,3.11,4.89,4.53,3.84,4.41
g_1,1.4,1.34,1.62,2.26,1.37,1.48,2.57,3.0,3.27,4.6,3.35,4.65,3.8,3.0,3.6,3.63
b_0,1.47,1.62,2.01,1.54,1.28,1.22,3.14,3.47,2.81,3.11,4.71,3.25,4.59,6.39,3.59,4.58
f_0,1.3,1.53,1.71,1.65,1.72,1.52,3.23,3.41,3.33,2.8,3.58,4.68,4.77,3.72,6.12,3.72
h_0,1.36,1.95,1.65,1.65,1.53,1.33,2.52,3.09,2.94,3.49,3.37,3.07,3.83,3.64,3.46,5.26
a_0,1.43,1.71,1.56,1.81,1.69,1.32,3.19,3.23,3.03,3.38,2.72,3.29,5.11,5.2,3.65,4.26
e_0,1.2,1.92,1.61,1.69,1.53,1.51,3.39,3.13,3.28,3.19,3.77,2.93,4.31,4.07,5.23,4.33
g_0,1.31,1.45,1.52,2.09,1.68,1.43,2.91,2.79,3.28,3.06,3.17,4.77,3.78,4.15,4.19,3.95
