,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,1.02,1.11,1.02,0.93,1.15,0.94,1.11,1.45,1.05,1.17,1.04,1.05,1.19,1.1
f_1,1.24,1.0,0.95,0.99,0.92,0.98,0.79,0.94,0.92,0.92,0.94,0.91,0.84,0.93,0.75,0.96
d_1,0.98,1.06,1.0,0.93,0.99,1.06,1.03,1.32,0.89,1.01,0.94,0.94,1.0,0.95,1.17,0.79
c_1,0.9,1.02,1.08,1.0,1.37,0.85,0.99,0.92,1.12,0.7,0.99,0.94,1.0,0.86,0.94,1.02
b_1,0.99,1.09,1.01,0.74,1.0,1.47,1.07,0.93,0.84,0.97,0.77,0.96,1.01,0.86,1.02,1.04
a_1,1.08,1.02,0.94,1.18,0.68,1.0,1.12,1.06,1.05,0.98,1.31,1.15,1.3,1.53,1.09,1.23
h_1,0.88,1.24,1.0,0.96,0.94,0.89,1.0,0.88,1.23,1.0,1.01,1.01,1.0,0.95,0.95,1.22
c_0,1.04,1.07,0.77,1.03,1.0,0.96,1.16,1.0,1.07,1.09,1.33,1.01,1.15,1.13,0.98,1.04
g_1,0.93,1.06,1.21,0.92,1.13,0.93,0.82,0.96,1.0,0.86,0.96,1.21,0.78,1.06,0.89,0.94
d_0,0.74,1.01,0.92,1.42,1.06,1.0,1.0,0.91,1.15,1.0,1.07,0.9,1.07,0.95,1.03,1.13
b_0,0.98,1.04,1.07,1.0,1.13,0.76,1.01,0.75,1.01,0.96,1.0,0.97,0.95,1.63,0.97,0.98
f_0,0.81,1.11,1.07,1.14,1.02,0.87,0.98,0.97,0.84,1.08,0.96,1.0,1.09,1.1,1.35,0.86
h_0,0.99,1.14,1.03,1.0,0.98,0.81,1.02,0.86,1.3,0.94,1.07,0.89,1.0,0.87,0.87,1.1
a_0,0.94,1.08,1.04,1.2,1.16,0.76,1.09,0.91,0.94,1.09,0.65,0.93,1.18,1.0,0.93,0.98
e_0,0.88,1.39,0.83,1.08,0.91,0.9,1.03,1.03,1.08,0.97,1.08,0.76,1.12,1.03,1.0,0.98
g_0,0.87,0.99,1.22,1.02,0.97,0.87,0.81,0.95,1.1,0.83,1.01,1.18,0.89,0.97,0.94,1.0
