,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10.43,0.67,0.6,1.0,0.65,0.74,0.99,0.79,2.72,0.79,0.95,1.1,1.12,1.01,0.74,1.05
f_1,1.84,10.83,0.63,0.67,0.6,0.47,0.74,0.81,0.95,0.83,0.97,0.68,0.92,0.9,0.72,0.91
d_1,0.62,0.89,13.13,0.47,0.53,0.69,1.12,1.16,0.56,2.61,1.33,0.99,1.02,1.21,1.0,1.09
c_1,0.55,0.57,0.67,13.03,2.15,0.78,0.76,0.87,0.86,0.51,0.59,0.83,0.92,0.89,0.94,0.82
b_1,0.6,0.62,0.75,0.68,12.37,1.7,0.99,0.87,0.79,0.9,0.61,0.86,0.98,0.77,1.02,0.98
a_1,0.59,0.81,0.87,0.75,0.68,17.18,1.14,1.09,0.72,1.06,1.12,1.28,0.97,0.57,1.01,0.9
h_1,0.73,1.35,0.82,0.8,0.63,0.65,3.07,1.37,0.81,0.85,0.99,1.02,0.87,0.97,1.21,1.79
g_1,0.53,0.65,1.97,0.68,0.61,0.87,1.01,3.81,0.68,1.21,1.26,1.87,0.95,0.99,1.23,0.74
d_0,0.59,0.78,0.53,2.68,0.93,0.72,0.96,0.83,1.97,0.57,0.9,1.01,1.08,1.02,1.29,0.95
c_0,0.9,0.91,0.74,0.75,0.48,0.75,1.3,1.08,1.15,2.17,3.49,1.29,1.09,1.57,1.21,1.16
b_0,0.86,1.09,0.81,0.87,0.54,0.52,1.15,1.05,1.04,1.05,2.7,1.23,1.32,3.03,1.23,1.07
f_0,0.58,0.56,1.02,0.94,0.85,0.86,1.16,1.3,0.96,0.94,1.33,2.54,1.12,0.98,3.28,1.25
h_0,0.69,1.36,0.84,0.75,0.65,0.88,0.73,1.43,0.84,0.9,1.04,0.97,0.82,1.08,1.16,1.38
a_0,0.71,0.96,1.03,0.97,0.7,0.49,1.28,1.12,0.99,1.12,1.0,0.86,1.05,2.97,1.13,0.9
e_0,0.53,0.82,1.13,0.83,0.98,0.63,1.36,1.68,0.85,1.02,1.18,1.02,1.19,1.12,3.04,1.53
g_0,0.69,0.76,1.68,0.62,0.75,0.8,1.02,0.8,0.64,1.1,1.05,1.75,1.03,1.03,1.37,0.79
