,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,14.64,1.25,0.52,0.5,0.42,0.46,0.87,0.74,0.85,0.83,1.01,0.42,0.9,1.04,0.7,0.89
e_1,0.61,14.8,0.42,0.75,0.62,0.51,0.71,0.8,2.35,0.98,1.03,1.06,1.04,0.97,0.53,0.98
d_1,0.6,0.44,18.73,0.43,0.54,0.53,1.18,1.0,0.41,1.95,1.08,1.1,1.13,1.08,1.11,1.05
c_1,0.52,0.44,0.62,19.18,1.44,0.44,0.87,0.81,0.75,0.26,0.67,0.94,0.94,0.93,0.89,0.78
b_1,0.54,0.55,0.54,0.57,19.63,1.54,0.75,0.77,0.66,0.8,0.31,0.82,0.69,0.48,0.89,0.78
a_1,0.56,0.6,0.62,0.59,0.54,29.66,0.93,0.69,0.86,1.03,0.84,0.79,1.15,0.33,1.18,1.1
h_1,1.34,0.48,0.87,0.62,0.68,0.72,4.58,1.62,0.78,0.99,1.41,1.01,0.62,1.3,1.08,1.78
g_1,0.58,0.7,1.57,0.69,0.56,0.78,0.91,6.07,0.78,1.04,0.96,2.01,1.1,0.92,1.48,0.79
d_0,0.7,0.71,0.41,2.31,0.62,0.62,1.12,0.97,2.87,0.75,1.28,1.15,1.14,1.23,0.97,1.16
c_0,0.81,0.69,0.86,0.46,0.47,0.83,1.29,1.16,1.41,2.88,3.34,1.61,1.22,1.56,1.42,1.45
b_0,0.98,0.66,0.93,0.76,0.3,0.61,1.26,1.43,1.17,1.33,3.3,1.25,1.37,3.23,1.2,1.3
f_0,0.33,0.46,0.9,0.92,0.73,0.89,1.54,1.52,1.28,1.29,1.61,4.5,1.38,1.32,3.58,1.3
h_0,1.15,0.6,0.84,0.89,0.54,0.63,0.61,1.84,1.09,1.13,1.25,1.13,0.83,1.04,1.4,1.59
a_0,0.8,0.73,0.95,0.75,0.7,0.37,1.12,1.51,1.14,1.06,1.21,1.17,1.48,4.88,1.02,1.08
e_0,0.87,0.37,0.79,0.93,0.52,0.88,1.38,1.79,1.12,1.5,1.7,1.68,1.54,1.03,5.03,1.26
g_0,0.59,0.49,1.6,0.82,0.63,0.52,1.03,1.09,0.88,1.08,1.34,2.23,1.39,1.02,1.17,1.06
