,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,1.26,1.91,2.35,3.2,24.08,27.99,37.27,51.03,41.93,55.5,78.68,82.95,113.38,117.79
f_1,1.11,1.0,1.05,1.53,1.91,3.04,14.92,25.04,27.6,29.21,33.61,38.56,56.99,65.86,64.46,92.9
d_1,0.79,0.96,1.0,1.3,1.85,2.97,17.5,31.95,24.18,28.77,30.36,36.13,61.43,60.39,90.37,68.77
c_1,0.52,0.66,0.77,1.0,1.84,1.69,12.05,15.92,21.79,14.19,22.94,25.84,44.02,39.03,52.3,63.56
b_1,0.43,0.52,0.54,0.55,1.0,2.18,9.67,12.04,12.15,14.79,13.21,19.65,32.91,29.21,42.0,48.2
a_1,0.31,0.33,0.34,0.59,0.46,1.0,6.77,9.15,10.23,10.01,15.11,15.89,28.55,35.07,30.14,38.25
h_1,0.04,0.07,0.06,0.08,0.1,0.15,1.0,1.26,1.97,1.69,1.91,2.29,3.61,3.56,4.32,6.29
c_0,0.03,0.04,0.03,0.06,0.08,0.11,0.81,1.0,1.21,1.28,1.78,1.61,2.92,2.98,3.15,3.75
g_1,0.03,0.04,0.04,0.05,0.08,0.1,0.51,0.85,1.0,0.91,1.14,1.71,1.77,2.5,2.53,3.02
d_0,0.02,0.03,0.03,0.07,0.07,0.1,0.6,0.77,1.09,1.0,1.21,1.21,2.31,2.12,2.8,3.46
b_0,0.02,0.03,0.03,0.04,0.07,0.07,0.53,0.56,0.85,0.85,1.0,1.16,1.82,3.22,2.33,2.65
f_0,0.02,0.03,0.03,0.04,0.05,0.06,0.43,0.61,0.59,0.8,0.81,1.0,1.75,1.82,2.72,1.95
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.28,0.34,0.58,0.44,0.56,0.56,1.0,0.9,1.09,1.56
a_0,0.01,0.02,0.02,0.03,0.03,0.03,0.29,0.34,0.4,0.49,0.33,0.56,1.14,1.0,1.13,1.34
e_0,0.01,0.02,0.01,0.02,0.02,0.03,0.22,0.32,0.38,0.36,0.45,0.38,0.89,0.85,1.0,1.1
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.16,0.26,0.34,0.27,0.37,0.52,0.63,0.71,0.84,1.0
