,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,12.0,8.05,8.54,7.35,6.27,2.68,3.42,2.43,2.59,2.6,,1.71,2.49,1.77,1.62
e_1,5.33,1.07,11.54,8.22,8.72,9.26,2.98,2.74,3.17,3.36,3.13,2.84,2.02,2.4,1.92,
d_1,10.94,10.63,1.07,9.43,10.12,7.56,3.64,2.66,,3.1,2.83,2.52,2.31,2.74,1.2,2.44
c_1,11.35,9.88,12.01,1.07,10.04,12.1,3.78,3.23,1.78,,3.1,3.06,2.24,3.0,2.31,
b_1,13.58,9.1,12.37,7.59,1.07,8.44,6.29,4.24,2.69,3.85,,3.07,2.42,2.41,3.03,3.56
a_1,19.22,12.54,13.64,11.48,11.5,1.07,6.06,4.69,4.19,4.33,4.3,4.66,3.79,,2.89,
h_1,14.98,19.27,13.28,12.55,9.68,12.21,1.41,4.96,4.36,3.5,3.48,3.1,,3.6,3.94,3.76
g_1,14.82,18.36,16.29,16.43,16.9,15.57,4.85,1.41,5.73,4.51,3.33,5.06,3.43,,,
d_0,14.75,9.23,,17.08,17.84,16.93,4.97,4.93,1.73,4.67,4.6,3.59,3.0,,2.39,4.44
c_0,17.59,13.53,9.64,,13.47,14.16,5.46,7.71,4.37,1.77,5.14,3.78,3.31,4.88,3.51,3.85
b_0,15.66,17.16,15.3,19.21,,12.42,6.2,7.04,4.07,2.92,1.73,5.25,3.27,4.53,3.17,3.98
f_0,,16.61,15.59,15.56,22.02,14.94,9.57,4.48,5.07,5.27,4.9,1.73,3.71,4.34,3.18,
h_0,15.86,18.61,13.12,16.16,12.83,10.09,,5.86,5.38,4.2,5.18,4.93,,4.4,3.54,3.17
a_0,19.02,23.25,26.15,17.75,27.7,,7.6,,,5.96,4.65,5.89,4.16,1.74,5.31,4.92
g_0,24.89,22.29,25.93,19.38,16.17,21.23,4.72,,7.77,5.54,5.36,5.34,3.57,3.93,,4.14
e_0,34.1,,25.02,,19.3,,7.74,,6.12,5.68,6.52,,6.25,5.2,5.79,1.78
