,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.77,1.12,1.62,2.0,2.41,21.16,29.68,49.14,29.63,45.14,47.09,82.24,115.56,131.0,122.24
f_1,1.3,1.0,1.11,1.22,1.73,2.94,15.78,31.89,29.01,32.54,32.42,43.14,65.91,76.45,106.26,94.36
d_1,0.9,0.9,1.0,1.12,1.67,2.53,16.64,19.32,25.81,34.28,35.21,38.96,61.21,70.49,69.9,66.64
c_1,0.62,0.82,0.89,1.0,2.04,2.32,15.12,24.05,16.73,16.32,26.6,27.94,55.12,56.38,79.74,78.41
b_1,0.5,0.58,0.6,0.49,1.0,2.09,10.36,18.52,15.93,17.89,22.52,20.26,39.14,54.03,51.87,64.32
a_1,0.41,0.34,0.4,0.43,0.48,1.0,6.99,9.05,8.79,10.1,13.35,13.29,19.7,29.89,34.91,31.26
h_1,0.05,0.06,0.06,0.07,0.09,0.14,1.0,2.08,1.68,1.64,2.04,2.14,3.28,4.5,5.95,5.75
g_1,0.03,0.03,0.05,0.04,0.05,0.11,0.49,1.0,0.94,0.98,1.75,1.36,1.84,2.67,3.05,3.73
d_0,0.02,0.03,0.03,0.06,0.06,0.11,0.59,1.02,1.0,0.97,1.31,1.32,1.99,3.06,3.45,3.86
c_0,0.03,0.03,0.03,0.06,0.05,0.1,0.6,0.99,1.08,1.0,1.62,1.89,2.42,2.93,3.43,4.16
f_0,0.02,0.03,0.03,0.04,0.04,0.08,0.49,0.55,0.79,0.66,1.0,1.06,1.56,3.11,2.25,2.65
b_0,0.02,0.02,0.03,0.04,0.05,0.07,0.46,0.71,0.77,0.53,0.95,1.0,1.73,2.6,2.68,3.66
h_0,0.01,0.02,0.02,0.02,0.03,0.05,0.3,0.55,0.51,0.42,0.61,0.6,1.0,1.2,1.73,1.54
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.22,0.37,0.32,0.3,0.33,0.39,0.83,1.0,0.9,1.15
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.32,0.3,0.29,0.46,0.38,0.57,1.1,1.0,0.95
a_0,0.01,0.01,0.02,0.01,0.02,0.03,0.17,0.27,0.3,0.25,0.36,0.28,0.62,0.84,1.08,1.0
