,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,13358.49,5426.72,5462.01,5186.17,11187.62,43212.43,5856504.39,8519714.46,29297254.77,13765745.06,35212578.19,46115379.68,136330332.58,187890902.04,213340970.02,443164966.93
f_1,4149.95,13246.06,9924.9,6813.65,10256.67,37907.19,5704894.1,15451629.91,15681735.27,12635523.71,27453109.93,27267720.1,130315710.48,135936680.64,129409384.76,396072532.38
e_1,3814.86,4883.77,17073.06,8542.02,12701.23,37534.07,5376781.21,27339926.14,15672608.16,12953453.83,26098313.92,40793314.03,141360864.3,157909069.9,144429190.68,462665432.24
c_1,4877.54,4461.29,4984.78,21403.1,22856.2,35523.95,5188515.14,13504808.59,9337546.87,12303745.24,20166155.25,39849106.07,134529630.97,146688902.88,203162321.23,418110501.04
b_1,4740.72,4727.93,4891.86,7582.96,42144.3,79374.46,5768066.46,16326297.91,12988788.09,12814636.9,20430972.96,42110111.23,128848625.0,112984495.84,187158637.74,402695774.56
a_1,5103.19,5776.89,5743.6,7690.92,9291.11,186225.09,5858358.5,12942669.0,14519015.81,13667127.06,29485695.57,39968136.93,151276651.73,91223336.91,178990106.44,456734705.37
h_1,5312.66,7518.44,6446.79,7385.57,13038.25,43418.62,11965639.35,12812156.0,16609565.38,17918829.38,29269617.83,46688612.56,108301140.45,132078014.47,219269930.91,625479895.68
d_0,3267.71,4820.35,5792.03,14507.92,15932.95,46896.6,5908957.71,25160823.15,12119114.53,14637853.87,30895707.71,42684072.87,148158653.93,166686002.14,203225789.62,490308865.17
c_0,6064.04,5994.7,6318.61,6394.58,10176.02,39276.76,6538257.34,15821214.8,28863541.92,16116296.72,55889133.49,52741670.52,149592094.38,228336939.64,227841025.59,513918144.06
g_1,8198.94,4504.73,4668.93,7732.48,13874.11,38112.23,5384206.98,12863564.72,17298498.49,35474185.97,32970792.55,73930563.34,151851563.66,128038337.88,251908982.51,388706386.42
b_0,6335.89,6104.72,6089.2,8126.88,8426.08,31942.32,6533015.99,14657463.2,19806095.74,15847543.62,59532035.43,49413218.76,183346334.24,356790337.05,252822559.71,515579275.03
f_0,6695.04,4131.73,5349.17,8119.56,15670.32,36803.82,5969253.19,13124706.93,21295015.52,16850552.71,36150079.76,89625728.66,174038314.91,178066874.14,530875532.07,524701788.13
h_0,5804.35,6813.03,5700.14,8063.49,13420.86,43350.24,4753843.17,14731860.74,17062509.55,22365970.64,33755129.86,44646467.23,110617324.58,178308759.66,229603854.87,665964049.1
a_0,5873.67,5629.39,6425.34,8487.43,13087.23,24164.28,7343345.91,17113201.09,20088126.17,17708087.2,37761420.53,46763728.6,178129679.35,378215179.43,236062526.62,528073203.87
e_0,5969.6,5868.4,5065.72,7821.89,16362.9,36307.04,5713580.88,15266938.18,19114971.12,16171094.94,29539175.74,55520254.73,190694525.54,191791697.44,486758544.5,661803317.1
g_0,8544.53,4617.39,4796.78,7885.48,14155.82,45404.43,5731688.97,11473335.36,19002771.58,11974104.88,30552422.06,70011982.24,144252653.06,182741786.17,277741912.48,406926998.28
