,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.22,0.89,1.02,0.84,0.74,0.41,0.42,0.38,0.45,0.37,0.34,0.32,0.29,0.25,0.33
e_1,0.83,1.0,0.91,1.09,1.04,0.75,0.52,0.47,0.41,0.58,0.42,0.42,0.36,0.35,0.39,0.33
d_1,1.11,1.07,1.0,0.91,0.89,0.76,0.46,0.39,0.52,0.43,0.44,0.39,0.35,0.34,0.32,0.26
c_1,1.01,0.93,1.08,1.0,1.25,0.72,0.47,0.4,0.41,0.33,0.34,0.35,0.34,0.34,0.29,0.32
b_1,1.18,0.96,1.11,0.82,1.0,1.13,0.54,0.51,0.56,0.43,0.46,0.38,0.32,0.44,0.38,0.37
a_1,1.38,1.32,1.36,1.34,0.88,1.0,0.76,0.66,0.6,0.61,0.62,0.52,0.5,0.46,0.45,0.45
h_1,2.41,2.0,2.2,2.02,1.87,1.32,1.0,1.11,0.85,0.82,0.85,0.75,0.67,0.69,0.63,0.74
g_1,2.39,2.11,2.55,2.43,2.0,1.54,0.89,1.0,0.88,0.83,0.83,0.93,0.75,0.65,0.78,0.69
c_0,2.52,2.38,2.01,2.55,1.8,1.59,1.18,1.15,1.0,1.18,1.24,0.89,0.9,0.83,0.82,0.74
d_0,2.22,1.81,2.33,3.06,2.39,1.62,1.16,1.19,0.8,1.0,0.9,0.85,0.82,0.83,0.74,0.83
b_0,2.58,2.44,2.37,2.82,2.18,1.5,1.18,1.18,0.82,1.07,1.0,0.93,1.17,0.91,0.8,0.69
f_0,2.88,2.4,2.7,2.94,2.44,1.88,1.36,1.07,1.17,1.16,1.03,1.0,0.93,1.01,1.26,0.72
a_0,3.11,2.65,2.9,2.96,3.16,1.99,1.59,1.28,1.09,1.17,0.92,1.08,1.0,1.12,0.95,0.91
h_0,3.47,2.81,3.0,2.86,2.33,2.13,1.38,1.53,1.19,1.17,1.08,0.98,0.89,1.0,0.91,1.05
e_0,3.96,2.63,3.23,3.2,2.64,2.25,1.61,1.32,1.28,1.39,1.26,0.82,1.02,0.99,1.0,0.97
g_0,3.09,2.89,3.83,3.07,2.78,2.16,1.35,1.59,1.32,1.17,1.3,1.41,1.16,0.92,1.07,1.0
