,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,8.24,10.72,8.79,8.83,6.64,3.07,2.9,3.4,2.58,2.94,,1.22,2.57,2.08,2.13
d_1,10.41,1.07,8.63,8.73,7.68,7.51,4.91,,2.56,4.16,2.38,2.44,2.07,2.27,2.11,1.54
e_1,5.96,12.64,1.07,8.38,9.67,8.75,2.93,3.72,3.82,2.45,2.84,2.52,2.32,2.1,,3.06
c_1,10.19,10.96,12.43,1.07,13.91,11.4,3.12,1.56,4.65,,2.59,3.14,2.45,2.71,2.2,1.93
b_1,10.75,11.69,10.58,6.78,1.07,9.96,5.2,3.18,3.11,3.55,,2.55,2.64,3.21,,2.19
a_1,19.92,14.8,11.96,11.2,8.88,1.07,5.89,4.3,5.06,4.78,4.94,3.31,3.32,,,2.36
h_1,12.38,11.08,17.21,16.81,10.24,11.78,1.41,4.35,4.85,4.29,3.75,3.97,,3.54,3.44,3.39
d_0,16.54,,8.8,18.84,14.11,11.06,5.89,1.73,3.98,3.74,3.72,3.47,3.12,4.05,3.44,3.66
g_1,14.78,16.85,18.52,12.55,20.77,13.73,5.09,6.23,1.41,5.18,5.3,4.56,2.72,5.31,4.92,
c_0,14.82,9.78,14.17,,15.79,14.54,4.44,4.85,6.03,1.72,6.42,4.35,3.83,3.42,2.83,3.12
b_0,13.74,18.05,17.41,18.86,,16.36,6.18,4.5,5.62,2.86,1.74,4.3,3.53,5.48,5.65,2.81
f_0,,21.53,19.54,15.95,17.64,16.44,6.22,6.52,4.8,4.7,5.28,1.71,4.07,5.9,4.52,2.26
h_0,24.73,13.9,14.67,15.23,13.06,14.26,,5.05,6.81,4.26,4.18,5.26,,2.71,3.36,4.29
a_0,26.24,19.72,24.92,22.51,25.93,,8.17,6.01,7.97,7.43,3.91,5.82,7.08,1.74,,4.23
e_0,33.66,22.6,,28.51,,,7.47,7.47,7.12,7.91,4.68,5.85,4.73,,1.73,5.29
g_0,19.13,20.88,20.56,17.93,17.58,22.0,5.62,4.89,,6.09,6.68,6.62,3.65,4.72,5.43,
