,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.85,0.95,0.9,0.7,0.35,0.43,0.38,0.4,0.35,0.31,0.3,0.3,0.23,0.31
e_1,0.79,1.0,0.96,1.04,0.97,0.79,0.51,0.57,0.38,0.42,0.36,0.4,0.33,0.36,0.34,0.31
d_1,1.16,1.03,1.0,1.02,0.94,0.74,0.44,0.42,0.62,0.33,0.46,0.38,0.36,0.31,0.32,0.25
c_1,1.06,0.96,0.97,1.0,1.34,0.79,0.51,0.31,0.44,0.41,0.32,0.36,0.35,0.29,0.32,0.32
b_1,1.12,1.02,1.06,0.75,1.0,1.18,0.59,0.49,0.49,0.51,0.48,0.39,0.4,0.32,0.29,0.32
a_1,1.44,1.27,1.38,1.27,0.85,1.0,0.86,0.7,0.57,0.64,0.62,0.58,0.49,0.48,0.49,0.49
h_1,2.81,1.95,2.29,1.94,1.66,1.23,1.0,0.84,0.91,1.05,0.89,0.73,0.71,0.64,0.66,0.74
d_0,2.23,1.73,2.4,3.28,2.15,1.39,1.13,1.0,0.75,0.88,0.91,0.83,0.81,0.67,0.74,0.72
c_0,2.54,2.62,1.6,2.13,2.11,1.69,1.15,1.46,1.0,1.0,1.37,0.77,0.79,0.78,0.74,0.75
g_1,2.33,2.34,3.27,2.35,2.06,1.59,0.96,1.08,1.0,1.0,0.98,1.13,0.8,0.74,0.87,0.68
b_0,3.04,2.78,2.22,3.13,2.06,1.6,1.12,1.11,0.76,1.1,1.0,0.91,0.86,1.02,0.87,0.85
f_0,3.57,2.39,2.65,2.89,2.46,1.77,1.34,1.24,1.22,0.91,1.02,1.0,0.98,0.75,1.32,0.64
h_0,3.38,3.0,2.74,2.96,2.48,1.99,1.43,1.3,1.25,1.25,1.19,1.05,1.0,0.85,0.79,1.08
a_0,3.22,2.87,3.21,3.27,3.17,2.0,1.53,1.4,1.43,1.32,0.98,1.24,1.18,1.0,1.04,1.05
e_0,4.35,2.96,3.14,3.04,3.69,2.15,1.5,1.3,1.33,1.11,1.22,0.77,1.31,0.92,1.0,0.93
g_0,3.25,3.13,3.94,3.11,3.23,1.96,1.31,1.41,1.3,1.52,1.2,1.5,0.92,1.01,1.15,1.0
