,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.39,0.72,0.52,0.82,0.53,0.68,0.84,1.81,0.93,0.88,1.17,1.01,1.06,1.15,1.0,0.62
f_1,1.11,2.43,0.6,0.63,0.58,0.52,0.96,0.79,0.85,0.97,0.8,0.35,0.86,0.89,0.77,0.56
d_1,0.66,0.74,2.77,0.45,0.61,0.6,0.95,0.44,0.83,1.72,1.07,1.03,1.03,1.01,1.09,1.12
c_1,0.58,0.66,0.67,2.89,1.22,0.56,0.85,0.8,0.93,0.36,0.76,0.85,0.78,0.78,0.67,0.95
b_1,0.57,0.59,0.74,0.6,3.66,1.33,0.89,0.71,0.87,0.69,0.36,1.06,0.77,0.98,0.82,1.14
a_1,0.63,0.68,0.73,0.68,0.53,4.58,0.95,0.9,0.84,1.06,0.98,1.06,0.37,1.1,1.39,0.97
h_1,0.77,1.1,0.89,0.75,0.78,0.67,2.51,0.94,1.29,1.04,1.03,1.09,1.04,0.75,1.34,1.2
d_0,0.66,0.84,0.49,1.54,0.84,0.73,1.04,1.96,1.1,0.74,1.17,1.14,1.16,1.12,1.15,1.14
g_1,0.67,0.55,1.31,0.81,0.69,0.67,1.05,0.88,3.43,1.21,1.23,1.98,1.22,0.89,0.81,1.36
c_0,0.93,0.81,0.79,0.61,0.61,0.82,1.07,1.33,1.01,2.17,2.12,1.31,1.17,1.37,1.58,1.13
b_0,0.77,0.98,0.87,0.96,0.38,0.49,1.15,1.2,1.13,1.06,2.44,1.26,2.52,1.03,1.29,1.21
f_0,0.65,0.48,0.98,0.94,0.81,0.78,1.21,1.14,1.17,1.12,1.25,2.68,1.39,1.3,1.38,2.72
a_0,0.72,0.88,1.05,1.08,0.84,0.33,1.16,1.21,1.07,0.98,1.16,1.17,3.05,1.23,1.11,1.33
h_0,0.76,1.14,0.86,0.79,0.61,0.81,0.78,1.19,1.51,0.94,1.12,1.09,1.28,0.7,1.61,1.0
g_0,0.72,0.72,1.33,0.85,0.7,0.59,1.18,1.01,0.63,0.98,1.33,1.81,1.4,1.23,0.84,1.17
e_0,0.41,1.02,0.92,0.89,0.94,0.73,1.16,1.07,1.21,1.16,1.22,1.2,1.19,1.33,1.21,3.05
