,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.94,1.07,0.56,0.55,0.5,0.66,2.01,2.42,2.62,2.77,3.19,0.64,2.79,4.16,1.77,4.18
e_1,0.58,6.1,0.4,0.69,0.7,0.58,2.38,1.6,2.97,5.52,3.04,2.68,3.41,3.97,0.74,4.26
d_1,0.67,0.6,6.23,0.53,0.53,0.64,2.43,2.2,5.3,0.39,3.41,4.16,2.88,4.25,3.0,4.14
c_1,0.49,0.63,0.61,6.37,1.22,0.53,1.94,1.55,0.47,3.04,2.0,2.97,2.64,4.7,2.65,4.68
b_1,0.67,0.51,0.67,0.66,6.94,0.92,1.99,1.71,2.34,2.5,0.66,2.96,2.85,4.96,3.68,4.6
a_1,0.7,0.53,0.71,0.58,0.51,10.3,2.03,2.24,2.69,3.41,2.36,2.96,0.53,4.31,3.4,5.39
h_1,1.4,0.96,1.25,1.03,0.93,0.62,16.05,5.39,5.92,4.4,5.55,4.35,5.15,2.75,4.4,9.47
g_1,1.05,0.74,1.73,1.24,0.69,0.81,3.11,19.19,3.75,4.01,4.88,9.14,4.67,7.73,6.72,2.33
c_0,1.08,1.08,1.27,0.37,0.83,1.23,4.26,5.4,14.92,4.68,11.69,6.26,6.68,7.92,5.72,6.92
d_0,1.11,0.95,0.34,1.98,1.05,1.15,5.75,3.34,3.93,14.31,5.11,4.51,5.64,6.71,3.58,6.44
b_0,1.33,1.05,1.24,1.11,0.38,0.74,4.08,3.67,5.98,5.38,16.3,7.02,11.03,9.32,4.54,6.69
f_0,0.4,0.94,1.29,1.23,1.01,1.13,4.48,5.51,6.03,5.07,5.04,18.24,5.01,8.2,11.83,6.17
a_0,1.2,0.82,1.42,1.17,1.02,0.35,4.55,3.97,5.3,4.62,5.99,5.51,20.48,10.61,5.83,7.56
h_0,1.53,0.83,1.22,1.07,0.89,0.94,1.76,6.22,5.34,4.94,5.93,4.67,5.16,2.38,7.38,8.68
e_0,1.22,,1.34,1.27,0.85,1.2,5.69,5.22,5.1,5.57,6.81,5.56,4.49,8.39,26.7,8.6
g_0,0.92,0.99,1.88,0.99,0.92,1.02,4.1,1.91,4.84,3.11,5.18,7.38,5.28,6.55,5.6,2.54
