,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,10.25,9.52,9.07,7.64,8.83,2.52,2.7,2.73,2.58,2.63,,1.64,1.75,2.05,1.86
e_1,5.66,1.07,9.3,9.14,6.36,6.63,3.56,3.71,2.87,2.75,2.85,3.48,2.0,2.65,1.93,
d_1,9.49,10.72,1.07,8.62,7.08,7.59,3.78,2.6,3.61,,2.57,2.5,2.46,2.02,1.47,2.7
c_1,9.21,10.03,12.66,1.07,10.27,8.39,4.48,3.5,,1.83,2.87,2.85,2.16,3.16,2.21,2.56
b_1,12.51,15.64,12.56,7.59,1.07,10.38,3.38,5.46,3.44,3.2,,2.89,3.04,3.68,3.63,2.29
a_1,17.12,22.1,13.56,15.99,10.55,1.07,6.93,,3.93,4.11,5.09,4.18,4.2,,2.47,
h_1,14.56,14.49,13.67,12.42,16.82,10.06,1.41,4.7,3.07,3.96,3.16,3.86,,3.17,3.94,3.65
g_1,18.93,16.89,17.96,14.66,14.34,,4.57,1.41,4.47,6.3,4.35,5.45,3.03,4.05,,4.23
c_0,12.99,14.5,8.74,,17.94,15.68,6.35,5.62,1.73,3.89,6.79,3.87,3.31,4.82,2.55,3.65
d_0,15.95,9.51,,16.75,15.17,13.68,4.92,5.16,6.94,1.76,3.71,4.1,3.48,3.21,3.13,3.38
b_0,19.09,14.07,17.23,19.26,,13.78,6.42,5.52,2.58,5.37,1.73,4.26,3.17,5.54,3.24,3.77
f_0,,16.12,15.68,15.35,18.34,16.09,7.17,4.64,5.06,4.84,5.75,1.71,3.25,4.5,2.33,5.74
h_0,17.05,16.65,13.54,15.53,13.3,10.92,,6.78,4.62,5.11,5.23,5.15,,4.91,3.61,3.43
a_0,29.39,21.55,31.01,17.61,18.98,,8.7,8.32,7.3,9.18,3.68,4.88,4.68,1.73,4.3,4.58
g_0,23.67,23.93,21.7,20.39,17.01,17.53,5.28,,6.1,4.87,5.07,7.95,2.96,5.75,,
e_0,34.0,,22.96,27.04,26.95,,9.3,7.83,7.36,7.54,7.49,3.63,5.47,5.37,,1.74
