,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.34,0.83,0.99,0.97,0.82,0.88,0.97,1.01,1.18,1.06,0.91,0.89,0.83,0.74,1.0
e_1,0.75,1.0,1.0,1.14,1.01,1.14,1.03,0.99,1.4,1.18,1.04,1.16,1.04,1.06,1.12,1.05
d_1,1.19,1.0,1.0,0.9,0.95,0.87,1.05,1.23,0.89,0.77,1.03,1.05,1.07,1.05,1.11,0.88
c_1,1.01,0.87,1.1,1.0,1.42,0.87,0.94,0.85,0.68,0.91,0.8,1.03,0.96,0.9,0.98,0.81
b_1,1.02,0.99,1.06,0.71,1.0,1.51,1.03,1.05,0.99,1.09,1.04,0.87,0.85,1.17,0.95,1.24
a_1,1.22,0.88,1.14,1.17,0.66,1.0,1.19,1.0,1.06,1.08,1.02,0.96,0.94,1.07,1.16,1.06
h_1,1.15,0.96,0.95,1.03,1.0,0.83,1.0,0.96,1.03,1.04,0.99,0.91,0.97,1.08,0.91,1.15
c_0,0.99,1.03,0.81,1.1,0.93,0.98,1.06,1.0,1.09,1.08,1.42,0.99,1.19,1.02,0.97,1.03
d_0,0.99,0.7,1.15,1.47,1.05,0.96,0.97,0.88,1.0,1.04,0.96,1.04,0.97,1.0,0.99,1.1
g_1,0.89,0.84,1.31,1.08,0.95,0.89,0.96,0.9,0.97,1.0,0.95,1.25,1.02,0.91,0.98,1.09
b_0,0.97,0.97,0.95,1.26,0.94,0.93,0.99,0.76,1.09,1.06,1.0,1.09,1.43,1.0,0.95,1.03
f_0,1.15,0.84,0.96,0.99,1.12,1.0,1.1,0.97,0.95,0.76,0.85,1.0,1.1,1.02,1.51,0.85
a_0,1.14,1.02,1.0,1.03,1.1,1.15,1.04,0.85,1.13,0.93,0.71,0.93,1.0,1.14,1.04,1.08
h_0,1.19,0.93,1.0,1.1,0.85,0.98,0.86,0.93,1.04,1.07,1.04,0.91,0.89,1.0,0.96,1.16
e_0,1.35,0.92,0.86,1.04,0.99,0.94,1.09,1.0,1.02,1.02,1.13,0.65,1.05,1.04,1.0,1.02
g_0,1.03,0.92,1.18,1.21,0.79,0.92,0.87,0.93,0.94,0.88,0.93,1.1,0.94,0.82,0.97,1.0
