,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.45,1.31,1.37,1.66,3.53,19.31,32.08,33.89,42.38,51.33,48.45,56.42,88.97,120.61,125.58
e_1,0.71,1.0,1.31,1.18,1.92,3.75,20.28,28.35,37.38,37.9,47.25,55.54,60.25,80.73,115.61,135.66
c_1,0.77,0.75,1.0,1.18,1.93,3.42,19.15,25.43,18.03,28.78,35.16,42.46,47.68,65.81,98.36,110.57
d_1,0.76,0.85,0.85,1.0,1.34,2.94,15.2,19.31,22.23,37.86,39.43,37.81,45.53,63.99,73.26,101.29
b_1,0.6,0.52,0.52,0.75,1.0,2.91,12.66,16.73,15.21,24.55,30.23,27.73,33.59,43.75,68.16,61.92
a_1,0.27,0.26,0.29,0.32,0.35,1.0,5.88,7.9,8.52,9.98,12.8,13.99,17.68,24.32,31.16,31.16
h_1,0.05,0.05,0.05,0.07,0.08,0.17,1.0,1.44,1.34,1.86,2.4,2.17,2.94,3.68,5.93,5.88
g_1,0.03,0.04,0.04,0.05,0.06,0.13,0.69,1.0,0.93,1.33,1.78,1.93,1.88,3.06,3.83,4.85
d_0,0.03,0.03,0.05,0.04,0.07,0.12,0.76,1.1,1.0,1.07,1.65,1.82,2.14,3.16,4.1,5.04
c_0,0.02,0.03,0.03,0.03,0.04,0.09,0.52,0.74,0.9,1.0,1.62,1.3,1.67,2.69,3.13,3.77
b_0,0.02,0.02,0.03,0.03,0.03,0.08,0.42,0.55,0.58,0.6,1.0,0.95,1.19,2.29,2.24,2.62
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.45,0.52,0.57,0.79,1.05,1.0,1.27,1.74,1.93,3.7
h_0,0.02,0.02,0.02,0.02,0.03,0.06,0.34,0.55,0.48,0.62,0.83,0.77,1.0,1.43,2.03,2.06
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.26,0.33,0.31,0.37,0.44,0.59,0.67,1.0,1.29,1.71
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.25,0.23,0.32,0.44,0.51,0.5,0.75,1.0,1.34
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.21,0.21,0.25,0.41,0.28,0.47,0.57,0.77,1.0
