,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.48,1.35,1.2,1.52,3.0,15.17,27.85,27.69,35.11,37.09,,76.92,111.41,101.34,141.33
e_1,0.68,1.0,1.26,1.33,1.55,3.32,23.12,40.96,28.43,41.24,32.25,56.48,68.07,150.46,,128.89
d_1,0.74,0.79,1.0,1.17,1.09,2.99,14.63,,31.6,27.94,33.91,48.09,61.25,92.73,91.2,76.16
c_1,0.83,0.75,0.86,1.0,1.64,2.56,20.6,15.96,,31.36,28.07,45.95,57.64,92.01,91.11,103.41
b_1,0.66,0.65,0.92,0.61,1.0,2.89,14.22,22.4,25.73,33.04,,27.74,60.84,83.93,70.28,87.54
a_1,0.33,0.3,0.33,0.39,0.35,1.0,10.99,9.57,9.0,15.9,14.1,21.59,31.2,,,61.16
h_1,0.07,0.04,0.07,0.05,0.07,0.09,1.0,1.08,1.25,2.31,2.37,2.28,,4.19,4.76,7.62
d_0,0.04,0.02,,0.06,0.04,0.1,0.93,1.0,0.84,1.61,1.69,2.39,3.31,3.5,3.88,4.66
c_0,0.04,0.04,0.03,,0.04,0.11,0.8,1.18,1.0,1.38,2.18,1.89,2.46,3.43,3.63,3.75
g_1,0.03,0.02,0.04,0.03,0.03,0.06,0.43,0.62,0.72,1.0,1.01,2.38,2.18,2.64,,
b_0,0.03,0.03,0.03,0.04,,0.07,0.42,0.59,0.46,0.99,1.0,1.13,1.31,3.45,2.64,2.28
f_0,,0.02,0.02,0.02,0.04,0.05,0.44,0.42,0.53,0.42,0.88,1.0,1.43,1.42,,1.75
h_0,0.01,0.01,0.02,0.02,0.02,0.03,,0.3,0.41,0.46,0.76,0.7,,1.04,1.13,2.04
a_0,0.01,0.01,0.01,0.01,0.01,,0.24,0.29,0.29,0.38,0.29,0.71,0.96,1.0,,0.96
e_0,0.01,,0.01,0.01,0.01,,0.21,0.26,0.28,,0.38,,0.89,,1.0,
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.21,0.27,,0.44,0.57,0.49,1.04,,
