,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.29,0.86,0.8,0.82,0.67,0.4,0.44,0.4,0.42,0.34,0.33,0.26,0.24,0.27,0.32
e_1,0.78,1.0,1.22,0.87,0.79,0.78,0.48,0.6,0.39,0.44,0.43,0.42,0.39,0.34,0.34,0.32
c_1,1.16,0.82,1.0,1.05,1.35,0.81,0.55,0.33,0.38,0.38,0.31,0.37,0.37,0.35,0.28,0.29
d_1,1.25,1.14,0.96,1.0,0.92,0.66,0.46,0.5,0.57,0.36,0.45,0.38,0.41,0.28,0.33,0.25
b_1,1.22,1.27,0.75,1.09,1.0,1.22,0.53,0.47,0.49,0.47,0.45,0.43,0.43,0.34,0.3,0.34
a_1,1.5,1.26,1.24,1.53,0.82,1.0,0.77,0.67,0.61,0.68,0.75,0.55,0.44,0.47,0.67,0.43
h_1,2.41,2.19,1.93,2.14,1.8,1.26,1.0,0.89,0.79,1.06,0.76,0.82,0.7,0.68,0.74,0.77
d_0,2.2,1.68,2.95,1.91,2.31,1.44,1.08,1.0,0.84,1.01,0.89,0.86,0.78,0.76,0.61,0.81
c_0,2.61,2.36,2.73,1.71,1.97,1.63,1.25,1.2,1.0,1.12,1.34,0.98,0.82,0.74,0.79,0.75
g_1,2.4,2.24,2.6,2.71,2.12,1.58,0.94,0.99,0.9,1.0,0.88,1.03,0.7,0.81,0.78,0.54
b_0,2.89,2.37,3.24,2.05,2.67,1.33,1.3,1.15,0.76,1.17,1.0,0.87,0.93,0.84,1.17,0.75
f_0,3.05,2.42,2.67,2.65,2.31,1.83,1.23,1.19,1.01,0.92,1.09,1.0,0.93,1.18,0.89,0.63
h_0,3.62,2.57,2.8,2.5,2.36,2.09,1.44,1.33,1.19,1.42,1.14,1.05,1.0,0.84,0.8,1.05
e_0,4.31,2.88,2.87,3.51,2.84,2.13,1.57,1.27,1.37,1.22,1.16,0.92,1.14,1.0,1.03,1.04
a_0,3.67,3.07,3.57,3.27,3.55,1.65,1.47,1.66,1.21,1.28,0.82,1.12,1.27,1.12,1.0,0.92
g_0,3.08,3.28,3.35,4.12,2.71,2.39,1.31,1.29,1.34,1.79,1.31,1.54,0.93,0.99,1.08,1.0
