,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.04,1.52,1.09,1.66,1.45,1.24,0.59,0.55,0.58,0.46,0.45,0.5,0.35,0.38,0.46,0.36
d_1,1.85,1.04,1.65,1.53,1.39,1.11,0.54,0.59,0.42,0.5,0.46,0.44,0.32,0.37,0.35,0.25
f_1,1.71,1.48,1.05,1.56,1.42,1.2,0.46,0.48,0.61,0.44,0.43,0.51,0.32,0.4,0.37,0.34
c_1,1.39,1.89,1.73,1.05,1.8,1.34,0.66,0.36,0.61,0.57,0.41,0.48,0.35,0.39,0.45,0.38
b_1,1.78,2.01,1.89,1.21,1.06,2.08,0.76,0.52,0.68,0.71,0.63,0.51,0.45,0.42,0.49,0.43
a_1,2.81,2.92,2.55,2.18,1.35,1.06,1.05,0.85,0.97,0.82,0.96,0.73,0.57,0.84,0.64,0.62
h_1,4.09,4.28,4.97,4.05,3.75,3.22,1.23,1.23,1.63,1.26,1.09,1.09,1.02,1.01,0.96,0.87
d_0,3.58,5.34,4.55,5.72,5.06,4.57,2.24,1.34,2.03,1.34,1.41,1.35,1.22,1.25,1.16,1.14
g_1,5.01,5.13,4.97,4.8,4.38,3.77,1.68,1.48,1.23,1.5,1.39,1.44,0.92,1.09,1.27,1.19
c_0,5.46,3.78,5.54,6.91,4.68,4.01,2.14,2.33,1.9,1.3,1.74,1.47,1.27,1.42,1.22,0.97
b_0,5.86,4.98,6.02,7.46,6.31,4.5,2.24,1.94,2.25,1.23,1.35,1.71,1.45,1.84,1.35,1.11
f_0,6.07,5.72,7.32,6.22,5.68,5.12,2.46,2.31,1.55,1.81,1.59,1.33,1.27,1.67,1.94,1.06
h_0,7.51,7.24,7.15,7.62,6.73,5.47,3.25,2.22,2.95,2.0,1.88,2.2,1.83,1.63,1.53,1.6
a_0,7.41,7.68,7.32,8.26,8.75,6.8,2.84,2.4,3.17,2.0,1.44,2.04,1.9,1.51,1.84,1.56
e_0,8.28,7.84,10.34,8.06,7.5,6.62,3.79,2.55,2.73,2.34,2.58,1.41,1.86,2.03,1.46,1.54
g_0,8.29,8.77,8.21,8.5,7.33,6.53,2.87,2.65,3.18,2.81,2.47,2.49,1.54,2.34,2.0,1.85
