,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.41,0.48,0.68,0.73,0.68,0.63,0.4,0.37,0.31,0.36,0.31,0.38,0.33,0.29,0.41,0.31
f_1,0.74,0.41,0.64,0.72,0.66,0.63,0.27,0.37,0.28,0.31,0.3,0.3,0.29,0.2,0.21,0.26
d_1,0.71,0.71,0.4,0.59,0.67,0.64,0.34,0.28,0.34,0.39,0.3,0.29,0.27,0.24,0.32,0.19
c_1,0.55,0.67,0.84,0.37,0.77,0.62,0.36,0.33,0.32,0.19,0.3,0.29,0.3,0.23,0.32,0.26
b_1,0.67,0.69,0.64,0.45,0.35,0.82,0.46,0.41,0.34,0.32,0.36,0.32,0.29,0.27,0.32,0.26
a_1,0.71,0.72,0.71,0.66,0.39,0.3,0.4,0.42,0.38,0.38,0.39,0.32,0.4,0.35,0.29,0.31
h_1,0.62,0.73,0.62,0.65,0.54,0.54,0.25,0.36,0.28,0.31,0.25,0.26,0.25,0.27,0.26,0.24
g_1,0.62,0.65,0.64,0.7,0.6,0.56,0.28,0.23,0.28,0.29,0.27,0.33,0.27,0.2,0.32,0.28
c_0,0.66,0.72,0.43,0.97,0.64,0.55,0.34,0.33,0.23,0.4,0.35,0.28,0.27,0.25,0.32,0.24
d_0,0.43,0.64,0.71,0.79,0.69,0.6,0.38,0.34,0.3,0.23,0.31,0.28,0.31,0.26,0.34,0.3
b_0,0.58,0.66,0.59,0.76,0.82,0.53,0.37,0.33,0.18,0.28,0.22,0.24,0.32,0.25,0.27,0.22
f_0,0.56,0.85,0.62,0.61,0.59,0.61,0.34,0.26,0.27,0.29,0.31,0.21,0.27,0.27,0.42,0.18
a_0,0.6,0.64,0.58,0.69,0.8,0.68,0.36,0.35,0.26,0.28,0.17,0.26,0.2,0.22,0.27,0.18
h_0,0.58,0.71,0.63,0.67,0.62,0.52,0.4,0.32,0.27,0.27,0.24,0.24,0.25,0.29,0.25,0.25
e_0,0.64,0.96,0.56,0.64,0.66,0.61,0.37,0.28,0.27,0.3,0.27,0.14,0.25,0.23,0.18,0.21
g_0,0.62,0.68,0.62,0.6,0.63,0.58,0.29,0.36,0.28,0.27,0.27,0.28,0.3,0.2,0.26,0.25
