,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.53,0.75,0.69,0.7,1.2,0.47,0.88,0.79,0.73,0.43,0.88,0.63,0.96,0.72,0.64,0.8
f_1,0.78,1.53,0.8,1.12,0.61,0.46,0.79,0.81,0.82,0.81,0.49,0.82,0.77,0.43,0.74,0.76
d_1,0.66,0.81,1.55,0.69,0.7,0.59,0.94,0.74,0.66,1.4,0.87,1.05,0.91,0.81,0.75,0.81
e_1,0.88,0.68,0.69,1.56,0.76,0.62,0.8,0.83,1.46,0.83,0.9,0.84,0.98,0.6,0.76,0.99
b_1,0.64,0.83,0.74,0.75,1.58,1.16,0.99,0.73,0.9,0.84,0.83,0.53,0.92,0.69,0.68,0.8
a_1,1.05,0.96,0.76,0.71,0.6,1.76,0.88,1.03,1.0,0.96,0.92,0.92,1.0,1.02,0.6,1.04
h_1,1.0,1.26,1.01,0.93,0.8,0.86,1.74,1.31,1.1,1.15,0.96,1.09,0.93,0.83,0.95,1.36
g_1,0.95,0.93,1.44,0.89,0.94,0.66,1.09,1.81,1.11,1.11,1.64,1.08,1.04,1.13,0.94,1.0
d_0,1.74,1.02,0.76,0.86,0.98,0.76,1.07,1.04,1.63,0.83,1.28,1.04,1.16,1.04,1.03,1.19
c_0,1.07,1.1,0.98,0.99,0.76,0.8,1.27,1.19,1.32,1.67,1.24,2.1,1.39,1.21,1.12,1.34
f_0,1.16,0.85,1.22,0.88,1.04,0.9,1.26,0.94,1.1,1.23,1.7,1.36,1.28,1.86,1.2,1.15
b_0,1.17,1.3,1.07,1.02,0.78,0.67,1.24,1.16,1.33,1.03,0.98,1.69,1.48,1.12,1.91,1.34
h_0,1.04,1.41,1.15,1.06,0.94,0.8,1.08,1.58,1.34,1.2,1.23,1.1,1.05,1.07,1.13,1.58
e_0,1.15,1.56,1.21,0.69,1.12,0.78,1.48,1.22,1.08,0.98,0.96,1.21,1.5,1.8,1.07,1.28
a_0,1.2,1.17,1.28,1.0,1.0,0.75,1.33,1.28,1.2,1.12,1.01,0.92,1.35,1.08,1.76,1.36
g_0,1.26,1.0,1.49,0.93,1.07,0.76,1.05,0.94,1.19,1.33,1.63,1.24,1.28,1.08,1.12,1.08
