,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,1.07,1.01,1.17,1.19,1.0,0.25,0.34,0.24,0.25,0.23,0.32,0.14,0.25,0.18,0.25
d_1,1.35,0.42,1.29,1.23,1.08,0.99,0.33,0.22,0.22,0.48,0.21,0.23,0.15,0.25,0.12,0.2
e_1,0.73,1.26,0.42,1.37,1.3,1.12,0.35,0.39,0.29,0.27,0.26,0.29,0.18,0.23,0.2,0.39
c_1,1.15,1.65,1.07,0.39,1.32,1.23,0.38,0.38,0.36,0.14,0.22,0.25,0.18,0.22,0.18,0.26
b_1,1.49,1.31,1.43,0.73,0.38,1.33,0.4,0.36,0.35,0.26,0.53,0.3,0.2,0.31,0.2,0.24
a_1,1.66,1.57,1.7,1.58,0.75,0.34,0.46,0.5,0.33,0.33,0.5,0.29,0.22,0.6,0.23,0.3
h_1,2.14,1.88,2.09,2.3,2.09,1.86,0.3,0.58,0.44,0.48,0.4,0.39,0.41,0.38,0.31,0.38
g_1,2.87,2.14,2.09,2.48,2.45,2.08,0.56,0.28,0.47,0.45,0.45,0.47,0.28,0.45,0.4,0.51
c_0,2.61,1.42,2.45,4.38,2.81,2.48,0.72,0.6,0.32,0.68,0.48,0.53,0.34,0.53,0.3,0.51
d_0,2.25,3.71,1.51,2.75,2.84,2.75,0.89,0.88,0.56,0.34,0.47,0.52,0.35,0.48,0.39,0.57
b_0,2.77,1.96,2.59,4.01,3.94,2.44,0.8,0.62,0.29,0.51,0.3,0.54,0.38,0.53,0.36,0.51
f_0,3.7,2.46,2.47,2.91,2.66,2.69,0.79,0.49,0.54,0.54,0.47,0.31,0.39,0.43,0.26,0.51
h_0,2.94,2.95,2.67,3.3,3.17,2.62,1.18,0.74,0.59,0.59,0.55,0.6,0.58,0.48,0.48,0.54
a_0,3.27,2.93,3.21,3.33,4.48,4.34,0.82,0.87,0.48,0.65,0.31,0.64,0.39,0.28,0.36,0.69
g_0,3.6,2.67,3.33,3.39,3.89,3.0,0.76,1.12,0.64,0.69,0.57,0.62,0.32,0.63,0.55,0.56
e_0,4.1,3.28,4.51,3.16,2.77,3.2,0.95,0.71,0.62,0.57,0.71,0.34,0.44,0.57,0.39,0.28
