,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,5.89,2.67,1.58,1.51,1.27,1.23,4.94,6.33,5.25,6.84,3.17,6.67,5.83,12.15,5.23,10.59
e_1,1.55,5.91,1.18,1.91,1.61,1.58,5.76,13.41,5.53,7.02,7.73,7.36,8.62,11.36,3.74,9.88
d_1,1.66,1.72,6.49,1.08,1.19,1.65,5.8,3.72,5.35,14.21,7.91,8.89,7.57,11.06,9.29,11.31
c_1,1.47,1.21,1.41,6.7,2.77,1.46,5.18,7.78,5.14,2.83,7.53,5.54,7.34,10.57,8.59,12.01
b_1,1.67,1.23,1.63,1.41,7.39,2.99,5.11,6.56,5.21,5.7,8.39,2.98,6.52,10.66,8.31,10.37
a_1,1.77,1.51,1.52,1.57,1.52,11.07,5.88,7.64,5.53,6.95,7.61,7.98,4.39,9.89,7.29,9.16
h_1,2.4,1.82,1.93,1.93,1.67,1.53,15.91,7.94,9.59,9.08,7.96,8.35,9.58,9.51,7.97,18.87
d_0,1.91,1.54,1.25,3.94,1.85,1.35,7.04,15.94,6.03,6.25,7.88,9.88,9.28,12.87,9.59,15.97
g_1,1.38,1.68,3.34,1.7,1.74,1.66,6.35,7.08,20.54,7.5,12.34,9.75,9.59,12.95,10.1,9.42
c_0,2.32,1.79,1.97,1.01,1.51,1.74,8.22,7.8,8.08,16.64,10.4,18.98,14.19,15.47,10.18,14.82
f_0,1.16,1.57,2.17,2.29,1.74,1.89,7.13,9.18,7.99,9.71,19.49,11.01,12.93,14.35,22.09,13.3
b_0,2.02,1.95,2.28,2.0,1.23,0.96,7.36,8.05,7.23,9.08,9.44,20.01,24.23,14.1,9.36,13.64
a_0,1.84,1.9,2.37,1.8,1.94,0.74,7.99,9.0,7.82,9.17,10.52,8.59,23.35,14.02,9.97,14.72
h_0,2.68,1.64,2.19,2.14,1.7,1.58,4.24,8.24,8.07,8.56,7.95,8.55,8.72,6.75,9.73,17.43
e_0,1.78,0.98,2.15,2.37,2.3,2.17,7.12,8.09,6.86,8.69,9.64,9.58,10.92,14.51,24.77,14.12
g_0,1.62,1.68,3.07,2.0,1.33,1.79,7.38,7.55,4.88,8.16,17.08,8.78,9.94,12.98,11.11,8.98
