,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,4.06,4.24,3.15,3.57,3.9,1.44,2.13,1.85,1.83,1.38,,1.02,1.14,1.6,1.7
e_1,2.67,0.42,3.66,3.24,3.41,3.22,2.28,1.93,1.62,1.58,1.59,2.44,1.27,1.57,,1.33
d_1,3.33,4.27,0.4,3.62,4.07,2.64,1.69,1.27,,2.12,1.72,1.33,1.47,2.04,1.95,0.98
c_1,4.45,4.4,3.16,0.38,3.5,3.11,2.01,2.01,0.94,,1.72,1.6,1.43,1.64,1.61,1.34
b_1,3.93,3.16,3.2,2.62,0.37,4.88,1.79,2.94,1.49,1.67,,1.53,1.57,1.44,1.78,1.15
a_1,3.9,3.81,4.17,4.79,2.14,0.3,2.06,,1.74,1.81,1.54,,1.29,,,1.55
h_1,1.99,1.89,1.77,1.6,1.92,1.77,0.27,0.98,0.72,0.73,0.75,0.71,,0.97,0.67,0.95
g_1,1.91,2.39,2.06,2.01,1.53,,0.74,0.24,0.85,0.89,0.84,0.88,0.54,0.63,0.74,
d_0,1.38,1.1,,2.09,1.77,1.56,1.04,1.02,0.29,0.57,0.71,0.7,0.52,0.8,0.68,0.66
c_0,1.54,1.5,1.2,,1.61,1.25,0.84,0.86,0.85,0.28,0.81,0.73,0.76,0.7,0.58,0.52
b_0,1.66,1.64,1.55,1.65,,2.06,0.82,0.92,0.69,0.48,0.26,0.67,0.58,0.83,0.74,0.62
f_0,,1.22,2.0,1.67,1.48,,1.03,0.59,0.73,0.63,0.72,0.26,0.72,0.81,0.75,0.37
h_0,1.27,1.41,1.08,1.19,1.29,1.29,,0.65,0.61,0.56,0.68,0.56,,0.57,0.63,0.43
a_0,1.81,1.51,1.53,1.73,2.15,,0.73,1.07,0.68,0.83,0.45,0.61,0.59,0.22,,
e_0,1.6,,1.54,1.61,1.66,,1.07,0.71,0.8,0.81,0.79,0.42,0.52,,0.21,0.72
g_0,1.15,1.38,1.23,1.34,1.5,1.18,0.47,,0.63,0.57,0.65,1.07,0.42,,0.51,
