,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.31,1.14,0.95,1.26,0.98,0.7,1.86,1.64,3.52,2.09,2.1,1.93,2.66,1.87,2.48,1.32
f_1,1.69,2.35,0.96,0.99,0.86,0.75,1.67,1.62,2.36,1.92,2.08,1.3,2.63,1.68,2.08,1.26
d_1,1.12,1.18,2.5,0.91,0.82,0.79,2.22,1.82,1.62,3.71,2.56,2.13,2.89,1.89,2.56,1.91
c_1,0.98,1.05,0.99,2.51,1.71,0.82,1.84,1.75,2.21,1.52,1.38,1.97,2.52,1.74,2.01,1.67
b_1,1.03,1.2,1.01,0.93,2.7,1.53,1.84,1.7,1.84,2.03,1.47,2.0,2.78,1.36,2.15,1.74
a_1,1.11,1.19,1.16,1.02,0.98,3.22,2.05,1.52,2.27,2.27,1.84,2.14,3.27,1.27,2.69,1.95
h_1,1.2,1.45,1.21,1.04,1.03,0.74,3.53,2.52,2.31,1.91,2.41,2.03,2.35,2.07,3.21,1.91
g_1,0.99,1.11,1.59,1.06,0.95,0.84,2.27,3.8,1.84,2.05,2.36,3.19,3.03,1.95,2.46,2.26
d_0,1.14,1.18,0.82,1.85,1.22,0.75,1.97,1.74,3.24,1.72,2.0,2.0,3.24,1.76,2.55,1.92
c_0,1.26,1.31,1.12,1.04,0.86,0.89,2.11,2.02,2.44,3.31,3.76,2.01,3.08,2.15,2.69,2.26
b_0,1.22,1.23,1.25,1.25,0.73,0.5,2.39,2.52,2.38,2.18,3.59,2.43,2.95,3.78,3.04,2.27
f_0,0.98,1.0,1.25,1.27,1.07,0.83,2.23,2.14,2.17,2.35,2.31,3.74,3.51,2.23,3.15,3.79
h_0,1.15,1.53,1.21,0.99,0.97,0.85,1.57,2.54,1.94,2.19,2.3,2.13,2.16,1.94,3.52,1.88
a_0,1.23,1.24,1.25,1.26,1.0,0.57,2.28,1.96,2.45,2.37,2.66,2.5,3.43,3.91,2.65,1.95
g_0,1.11,1.18,1.62,1.13,0.84,0.86,1.9,1.79,1.92,2.35,2.48,3.06,2.84,1.97,2.39,2.14
e_0,0.86,1.22,1.32,1.18,1.1,0.91,2.44,2.23,2.27,2.27,2.37,2.25,3.2,2.04,2.58,3.81
