,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.65,0.95,0.67,1.0,0.96,0.94,0.45,0.46,0.45,0.36,0.4,0.41,0.3,0.32,0.38,0.3
d_1,1.12,0.64,1.08,0.87,0.87,0.83,0.42,0.32,0.41,0.39,0.36,0.33,0.26,0.34,0.28,0.22
f_1,1.12,0.88,0.64,0.93,0.91,0.83,0.33,0.43,0.36,0.35,0.34,0.37,0.23,0.33,0.28,0.27
c_1,0.82,1.18,1.02,0.63,1.15,0.81,0.44,0.44,0.24,0.39,0.33,0.32,0.28,0.31,0.31,0.27
b_1,1.01,1.05,1.12,0.69,0.62,1.11,0.53,0.49,0.38,0.45,0.43,0.4,0.31,0.31,0.36,0.3
a_1,1.11,1.22,1.22,1.37,0.77,0.57,0.52,0.6,0.51,0.43,0.51,0.48,0.42,0.5,0.46,0.34
h_1,1.51,1.57,1.8,1.57,1.38,1.43,0.53,0.8,0.63,0.58,0.6,0.54,0.55,0.48,0.51,0.44
g_1,1.69,1.77,1.62,1.67,1.48,1.27,0.57,0.52,0.55,0.58,0.56,0.59,0.42,0.48,0.55,0.48
d_0,1.2,2.06,1.7,2.16,1.73,1.49,0.79,0.93,0.55,0.61,0.69,0.57,0.53,0.58,0.55,0.49
c_0,1.86,1.27,1.78,2.03,1.57,1.43,0.79,0.73,0.91,0.54,0.75,0.69,0.54,0.62,0.62,0.47
b_0,1.63,1.56,1.75,2.38,2.28,1.39,0.77,0.79,0.7,0.42,0.53,0.66,0.52,0.59,0.58,0.52
f_0,1.81,1.77,1.98,2.24,1.73,1.39,0.87,0.64,0.74,0.61,0.63,0.53,0.55,0.56,0.72,0.37
h_0,2.09,2.19,2.09,2.0,1.98,1.68,0.94,0.93,0.7,0.71,0.73,0.67,0.66,0.63,0.59,0.55
a_0,2.08,1.93,2.11,2.24,2.55,1.75,1.03,0.97,0.8,0.64,0.53,0.73,0.61,0.52,0.68,0.55
e_0,2.3,2.17,2.49,2.35,2.22,1.66,0.97,0.84,0.82,0.73,0.75,0.47,0.62,0.69,0.51,0.48
g_0,2.33,2.42,2.03,2.28,2.22,1.97,0.85,1.12,0.91,0.83,0.8,0.87,0.54,0.71,0.71,0.64
