,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.12,4.74,4.47,5.0,4.37,4.51,0.96,0.96,1.37,0.99,2.41,1.04,0.55,1.18,0.84,1.05
e_1,2.68,1.12,6.35,5.26,5.93,5.62,1.68,1.14,1.65,0.98,1.25,0.99,0.87,1.98,1.52,0.76
c_1,6.8,4.59,1.13,7.32,6.18,4.43,1.48,0.69,1.87,2.4,1.08,1.03,0.86,1.1,0.97,0.8
d_1,5.89,7.11,5.74,1.12,5.97,5.23,1.84,3.38,1.01,1.03,1.03,1.47,0.96,1.23,1.12,0.52
b_1,7.77,8.27,3.52,7.54,1.14,8.16,2.15,1.62,2.3,1.68,1.41,3.37,1.03,1.28,1.59,0.87
a_1,11.07,9.12,9.82,10.35,4.59,1.14,3.11,2.31,2.79,2.52,2.0,2.11,1.29,1.79,4.57,1.48
h_1,18.48,20.48,20.64,18.0,18.75,18.92,1.79,3.5,5.09,3.68,3.69,3.77,3.67,2.97,3.4,2.37
d_0,21.88,11.25,25.52,51.93,19.73,17.3,6.96,2.35,7.76,4.72,4.63,5.38,3.45,4.0,4.28,5.91
g_1,25.55,22.71,25.93,19.2,23.57,27.35,4.32,5.35,1.83,3.7,5.22,4.02,2.45,4.41,4.96,5.2
c_0,27.99,23.27,62.33,11.4,29.92,25.62,6.72,5.56,7.67,2.43,4.71,5.38,3.86,4.14,5.6,3.99
f_0,70.5,22.57,28.94,18.1,26.9,22.49,9.47,4.73,4.69,4.83,2.33,5.22,4.07,5.19,5.42,2.33
b_0,30.21,24.49,40.51,19.8,59.18,30.21,7.35,5.8,7.01,2.74,5.22,2.24,3.32,4.64,5.03,3.85
h_0,34.61,27.15,30.29,33.35,29.92,25.95,17.86,6.83,10.35,6.9,6.29,6.54,6.89,5.27,6.43,4.64
e_0,59.48,52.77,56.86,33.0,44.38,36.8,13.32,9.58,10.52,6.75,3.97,7.99,6.14,2.64,7.54,5.04
a_0,57.68,40.29,46.3,36.0,43.66,54.7,12.89,9.58,11.05,6.9,8.91,4.34,5.89,6.33,2.55,7.0
g_0,52.87,49.3,37.69,40.62,38.04,40.48,9.14,8.21,21.73,10.23,7.24,8.1,4.87,7.1,7.54,9.27
