,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.17,0.22,0.25,0.19,0.13,0.18,0.15,0.39,0.21,0.2,0.18,0.18,0.13,0.07,0.14
d_1,0.22,0.9,0.24,0.16,0.18,0.12,0.21,0.18,0.1,0.37,0.22,0.19,0.16,0.15,0.11,0.15
f_1,0.38,0.19,0.89,0.21,0.18,0.11,0.14,0.15,0.17,0.2,0.18,0.1,0.2,0.14,0.1,0.15
c_1,0.22,0.22,0.25,0.89,0.34,0.09,0.16,0.17,0.19,0.08,0.12,0.12,0.19,0.13,0.11,0.12
b_1,0.21,0.21,0.21,0.19,0.89,0.27,0.21,0.17,0.19,0.17,0.07,0.13,0.16,0.08,0.09,0.13
a_1,0.22,0.26,0.2,0.2,0.17,0.88,0.19,0.21,0.18,0.2,0.21,0.22,0.21,0.06,0.11,0.17
h_1,0.25,0.25,0.38,0.25,0.18,0.17,0.58,0.29,0.23,0.25,0.24,0.18,0.14,0.15,0.12,0.21
g_1,0.21,0.43,0.27,0.24,0.22,0.12,0.23,0.58,0.18,0.28,0.23,0.3,0.21,0.12,0.14,0.11
d_0,0.23,0.18,0.28,0.52,0.22,0.13,0.23,0.21,0.43,0.19,0.23,0.21,0.23,0.14,0.16,0.17
c_0,0.26,0.31,0.27,0.16,0.18,0.17,0.25,0.24,0.22,0.45,0.47,0.24,0.24,0.17,0.17,0.16
b_0,0.24,0.32,0.29,0.27,0.14,0.15,0.24,0.25,0.23,0.24,0.46,0.25,0.24,0.32,0.15,0.17
f_0,0.22,0.31,0.19,0.28,0.19,0.17,0.26,0.24,0.27,0.23,0.22,0.43,0.29,0.15,0.35,0.19
h_0,0.23,0.31,0.4,0.27,0.22,0.12,0.15,0.27,0.24,0.21,0.24,0.18,0.14,0.15,0.15,0.23
a_0,0.25,0.25,0.28,0.29,0.24,0.09,0.29,0.26,0.24,0.23,0.28,0.28,0.26,0.38,0.18,0.18
e_0,0.16,0.37,0.32,0.29,0.19,0.12,0.28,0.2,0.27,0.25,0.26,0.22,0.3,0.19,0.39,0.18
g_0,0.24,0.39,0.26,0.26,0.19,0.14,0.22,0.14,0.21,0.24,0.25,0.34,0.23,0.18,0.15,0.11
