,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,6.04,2.85,3.64,2.28,2.84,2.91,9.7,20.92,10.9,12.75,14.57,12.76,21.27,14.9,20.11,12.9
f_1,4.49,6.34,2.78,2.46,2.51,2.61,9.9,13.05,9.28,12.43,10.24,13.1,18.27,13.2,18.81,11.63
c_1,2.45,2.72,6.81,2.61,5.03,2.97,9.6,11.75,9.4,7.42,13.45,9.27,20.21,13.66,20.46,13.38
d_1,2.59,3.27,2.23,6.97,2.62,2.71,10.76,9.12,10.9,22.09,14.2,16.01,22.15,14.67,25.05,15.28
b_1,2.49,2.74,2.73,2.75,7.57,5.82,10.5,11.63,10.9,11.69,13.96,10.41,19.81,13.24,16.64,14.52
a_1,2.81,2.52,2.92,3.37,2.99,10.27,10.57,12.18,11.97,12.7,15.36,13.03,21.29,9.31,19.13,17.09
h_1,2.81,3.77,2.87,3.54,3.02,2.7,18.42,11.85,14.9,13.3,14.58,12.5,17.94,14.67,25.15,15.18
d_0,2.76,2.83,5.37,2.26,3.35,2.69,10.99,18.54,10.57,8.84,13.92,11.82,21.75,16.2,20.8,16.62
g_1,2.59,2.78,3.14,4.29,3.04,2.65,11.12,12.52,22.43,14.54,21.1,13.83,20.2,13.77,19.23,16.61
c_0,3.19,3.46,2.51,3.42,2.35,2.7,12.22,15.48,11.59,21.26,16.59,25.48,22.41,20.41,23.47,16.96
f_0,2.65,2.75,3.48,3.37,3.3,2.41,11.88,13.28,12.33,14.32,22.95,15.81,25.56,17.38,25.06,30.11
b_0,2.97,3.59,3.27,2.93,2.36,2.37,11.93,16.0,11.61,15.34,14.05,25.69,22.13,31.08,21.34,17.69
h_0,3.11,3.92,2.81,3.54,3.09,2.8,9.13,12.3,13.75,13.97,13.63,14.83,17.46,15.88,26.16,16.78
a_0,2.98,3.46,3.36,2.83,2.85,2.63,13.06,15.15,12.16,13.84,16.35,15.84,21.88,30.05,21.09,20.18
g_0,2.73,2.91,2.58,4.23,3.13,2.91,12.65,12.31,9.87,16.53,22.02,15.55,19.42,15.28,19.29,20.16
e_0,2.47,3.23,3.62,3.89,2.93,2.41,11.99,13.73,12.59,13.43,13.63,13.3,23.46,17.66,25.98,32.15
