,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.25,0.93,0.89,0.99,0.94,0.92,1.06,1.04,0.86,0.92,0.99,0.89,0.82,1.0,0.93
e_1,0.8,1.0,1.2,0.98,0.97,0.99,1.02,1.06,1.33,0.98,1.17,1.05,1.05,1.25,1.09,1.08
c_1,1.08,0.83,1.0,1.1,1.31,0.78,1.04,1.07,0.73,0.83,0.94,0.83,1.05,1.03,0.91,1.14
d_1,1.13,1.03,0.91,1.0,1.03,0.86,1.01,0.79,1.16,1.33,0.95,0.89,1.02,0.97,0.86,0.91
b_1,1.01,1.04,0.77,0.96,1.0,1.64,1.13,0.97,0.97,1.19,0.94,1.07,0.96,1.0,1.02,0.96
a_1,1.05,1.02,1.31,1.17,0.62,1.0,1.0,1.1,0.93,0.86,1.09,1.41,1.16,1.21,1.03,0.98
h_1,1.12,0.96,0.91,0.97,0.86,0.94,1.0,1.26,0.99,0.97,1.0,0.98,0.96,1.02,0.87,1.19
g_1,0.96,0.92,0.96,1.32,1.05,0.9,0.79,1.0,0.9,0.99,1.31,0.95,0.78,0.88,0.99,0.95
d_0,0.98,0.75,1.38,0.82,1.12,1.02,0.99,1.05,1.0,0.81,1.0,0.99,0.99,0.95,1.09,1.1
c_0,1.11,1.0,1.28,0.76,0.83,1.12,1.0,1.04,1.11,1.0,0.99,1.45,1.09,0.97,1.14,1.12
f_0,1.09,0.82,1.11,1.05,1.1,0.9,1.03,0.75,1.02,0.98,1.0,1.08,1.07,1.25,1.03,0.77
b_0,1.05,0.95,1.14,1.06,0.91,0.73,1.05,1.1,0.97,0.68,0.9,1.0,1.12,0.88,1.46,0.98
h_0,1.16,0.99,1.0,0.98,0.99,0.9,1.04,1.31,0.94,0.92,0.93,0.88,1.0,0.93,1.0,1.06
e_0,1.26,0.85,0.97,1.03,0.97,0.94,0.92,1.08,0.99,1.01,0.73,1.2,1.06,1.0,1.11,0.9
a_0,0.97,0.91,1.11,1.16,0.98,0.98,1.19,0.97,0.89,0.92,0.99,0.7,0.98,0.84,1.0,1.11
g_0,0.95,0.91,0.91,1.09,1.04,1.03,0.85,1.06,0.93,0.92,1.3,1.06,0.91,1.05,0.96,1.0
