,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.41,0.49,0.64,0.72,0.67,0.69,0.36,0.4,0.39,0.33,0.34,0.4,0.32,0.28,0.29,0.44
f_1,0.69,0.41,0.64,0.65,0.66,0.63,0.31,0.44,0.32,0.28,0.29,0.36,0.29,0.2,0.28,0.24
d_1,0.79,0.67,0.39,0.66,0.66,0.67,0.36,0.26,0.34,0.31,0.31,0.28,0.26,0.24,0.19,0.27
c_1,0.6,0.68,0.76,0.39,0.78,0.54,0.35,0.34,0.21,0.35,0.28,0.27,0.31,0.26,0.28,0.27
b_1,0.69,0.73,0.68,0.44,0.35,0.83,0.35,0.36,0.3,0.38,0.41,0.32,0.32,0.27,0.25,0.28
a_1,0.77,0.69,0.64,0.81,0.4,0.29,0.48,0.36,0.34,0.3,0.35,0.31,0.4,0.28,0.3,0.3
h_1,0.62,0.64,0.61,0.64,0.7,0.49,0.24,0.34,0.29,0.31,0.3,0.25,0.27,0.28,0.25,0.26
g_1,0.61,0.66,0.66,0.64,0.64,0.54,0.28,0.23,0.28,0.29,0.28,0.28,0.28,0.21,0.24,0.3
d_0,0.41,0.63,0.87,0.75,0.7,0.59,0.38,0.42,0.24,0.27,0.3,0.31,0.31,0.27,0.25,0.3
c_0,0.59,0.77,0.43,0.89,0.62,0.64,0.34,0.35,0.41,0.23,0.35,0.3,0.31,0.28,0.21,0.29
b_0,0.58,0.61,0.55,0.78,0.8,0.58,0.34,0.36,0.3,0.18,0.22,0.3,0.33,0.25,0.25,0.3
f_0,0.53,0.85,0.65,0.64,0.64,0.6,0.37,0.24,0.27,0.25,0.28,0.21,0.28,0.27,0.16,0.34
a_0,0.61,0.64,0.66,0.63,0.7,0.68,0.34,0.37,0.31,0.24,0.2,0.27,0.2,0.22,0.24,0.28
h_0,0.59,0.71,0.6,0.62,0.61,0.51,0.37,0.37,0.3,0.26,0.27,0.25,0.29,0.29,0.25,0.27
g_0,0.6,0.58,0.73,0.59,0.66,0.58,0.29,0.4,0.28,0.3,0.27,0.32,0.26,0.21,0.26,0.25
e_0,0.6,0.88,0.65,0.63,0.59,0.54,0.32,0.29,0.26,0.3,0.27,0.17,0.27,0.23,0.22,0.18
