,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.0,0.85,1.03,0.67,0.65,0.57,0.94,1.63,0.93,0.81,1.05,1.01,0.95,1.03,0.69,0.97
f_1,1.31,2.1,0.75,0.67,0.59,0.65,0.9,0.99,0.86,0.91,0.93,0.59,0.91,0.83,0.66,0.84
c_1,0.69,0.71,2.13,0.76,1.39,0.64,0.88,0.92,0.78,0.49,0.71,0.98,0.95,0.91,0.91,0.95
d_1,0.64,0.79,0.6,2.32,0.76,0.75,1.09,0.6,1.11,1.75,1.12,1.09,1.06,1.05,1.11,1.03
b_1,0.73,0.71,0.71,0.78,2.48,1.48,0.77,0.81,0.85,0.85,0.55,0.92,0.99,0.8,1.09,0.86
a_1,0.77,0.79,0.75,0.81,0.7,3.33,0.92,0.79,1.05,1.08,1.16,0.97,1.2,0.77,1.05,1.06
h_1,0.8,1.14,0.72,0.92,0.67,0.68,2.36,0.89,1.46,1.07,1.04,1.09,0.75,1.15,0.88,1.41
d_0,0.78,0.9,1.46,0.53,0.89,0.78,1.14,1.56,0.86,0.7,1.14,0.99,0.95,1.15,1.11,1.04
g_1,0.7,0.79,0.79,1.26,0.69,0.78,1.13,0.88,2.57,1.15,1.1,1.76,1.06,0.93,1.21,0.89
c_0,0.85,0.96,0.7,0.96,0.61,0.76,1.2,1.0,1.23,1.78,2.1,1.13,1.26,1.28,1.32,1.17
b_0,0.87,0.9,0.99,1.01,0.44,0.64,1.14,1.18,0.96,1.1,1.94,1.07,1.11,2.37,1.31,1.26
f_0,0.57,0.7,0.95,0.94,0.92,0.87,1.18,1.07,1.06,1.06,1.29,1.99,1.18,1.01,2.49,1.37
h_0,0.92,1.21,0.76,0.94,0.75,0.72,0.84,0.88,1.36,1.02,1.04,1.08,0.76,1.06,1.04,1.38
a_0,0.78,0.95,0.98,0.97,0.67,0.61,1.13,1.24,0.87,1.2,1.15,1.15,1.11,2.23,1.17,1.08
e_0,0.57,1.02,0.89,0.94,0.81,1.01,1.23,0.85,1.0,0.9,0.95,1.08,1.15,1.14,2.47,1.4
g_0,0.72,0.71,0.77,1.43,0.87,0.69,0.97,0.75,0.79,1.08,1.2,1.57,1.11,1.24,1.28,0.91
