,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.96,1.28,0.9,0.94,0.66,0.38,0.45,0.38,0.42,0.39,0.36,0.29,0.33,0.28,0.33
d_1,1.04,1.0,0.99,0.79,0.86,0.76,0.57,0.36,0.55,0.54,0.42,0.42,0.35,0.35,0.34,0.22
e_1,0.78,1.01,1.0,1.09,0.9,0.87,0.49,0.48,0.44,0.62,0.4,0.49,0.39,0.35,0.42,0.34
c_1,1.11,1.27,0.92,1.0,1.36,0.62,0.45,0.44,0.34,0.32,0.39,0.38,0.41,0.3,0.33,0.32
b_1,1.06,1.17,1.11,0.74,1.0,1.11,0.55,0.46,0.49,0.52,0.54,0.42,0.4,0.45,0.43,0.42
a_1,1.51,1.32,1.15,1.61,0.9,1.0,0.73,0.62,0.64,0.45,0.54,0.58,0.57,0.55,0.46,0.44
h_1,2.63,1.83,2.01,2.33,1.81,1.36,1.0,1.21,0.95,0.84,0.93,1.02,0.91,0.82,0.68,0.92
g_1,2.25,2.67,1.97,2.19,2.13,1.58,0.82,1.0,0.87,0.97,0.89,1.11,0.59,0.67,0.74,0.73
c_0,2.6,1.88,2.22,3.1,2.03,1.54,1.11,1.16,1.0,1.14,1.23,1.08,0.85,0.75,0.74,0.72
d_0,2.29,2.13,1.65,3.38,1.82,2.04,1.15,1.07,0.88,1.0,1.08,0.87,0.72,0.89,0.71,0.74
b_0,2.79,2.42,2.48,2.73,1.84,1.7,1.02,1.12,0.79,0.91,1.0,0.76,0.92,1.29,0.71,0.74
f_0,2.95,2.36,2.01,2.79,2.25,1.66,1.01,0.96,0.92,1.21,1.29,1.0,1.04,0.95,1.51,0.65
h_0,3.47,2.95,2.51,2.51,2.38,1.74,1.14,1.72,1.16,1.29,1.05,0.94,1.0,0.92,0.95,1.12
a_0,3.09,2.7,2.77,3.36,2.22,,1.22,1.41,1.35,1.22,0.77,1.03,1.16,1.0,0.87,0.94
e_0,3.8,2.83,2.49,2.8,2.26,2.16,1.5,1.39,1.38,1.42,1.29,0.64,1.13,1.22,1.0,0.82
g_0,3.05,4.2,2.77,3.33,2.36,2.14,1.12,1.41,1.28,1.33,1.2,1.52,0.91,1.08,1.27,
