,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.84,0.91,1.1,0.98,0.96,1.02,1.13,1.41,1.04,1.07,1.25,1.04,1.12,1.1,1.23
f_1,1.18,1.0,0.98,0.98,0.95,0.98,0.93,1.08,1.01,0.88,0.97,0.9,0.96,0.82,1.11,0.76
d_1,1.1,1.04,1.0,0.94,0.98,1.03,1.03,0.83,0.92,1.23,1.05,0.94,0.91,0.99,0.83,0.93
c_1,0.92,1.03,1.07,1.0,1.34,0.82,0.96,0.94,0.76,0.89,0.83,0.9,1.01,1.01,1.04,0.97
b_1,0.99,1.06,1.02,0.75,1.0,1.45,0.94,0.98,0.9,1.09,1.0,1.01,1.0,1.02,0.95,0.97
a_1,1.05,1.05,0.97,1.21,0.68,1.0,1.27,1.05,1.05,0.97,1.11,1.0,1.02,1.13,1.1,1.1
h_1,0.99,1.09,0.96,1.05,1.08,0.75,1.0,1.12,0.95,1.01,0.99,0.89,0.95,1.02,1.1,0.98
g_1,0.92,0.93,1.18,1.01,0.97,0.92,0.9,1.0,0.86,0.99,0.93,1.15,0.94,0.9,0.91,1.11
d_0,0.71,0.99,1.15,1.36,1.03,0.94,1.08,1.15,1.0,0.8,0.98,1.08,1.0,1.06,1.05,1.08
c_0,0.93,1.18,0.82,1.17,0.88,1.0,1.0,1.08,1.23,1.0,1.4,1.08,1.13,1.15,0.92,1.03
b_0,0.92,1.01,0.94,1.19,1.01,0.95,1.0,1.07,0.99,0.71,1.0,1.06,1.37,1.06,1.07,1.07
f_0,0.8,1.13,1.08,1.05,0.99,0.99,1.14,0.86,0.96,0.92,0.99,1.0,1.04,1.13,0.77,1.5
a_0,0.94,1.02,1.14,1.01,1.05,0.88,1.03,1.08,1.0,0.84,0.79,0.97,1.0,0.94,1.07,1.03
h_0,0.91,1.2,1.01,0.98,0.95,0.85,0.98,1.12,0.95,0.88,0.93,0.85,1.04,1.0,1.11,0.96
g_0,0.93,0.92,1.25,0.93,1.03,0.9,0.9,1.1,0.95,1.02,0.96,1.25,0.97,0.93,1.0,0.97
e_0,0.83,1.3,1.04,1.05,1.0,0.96,1.01,0.91,0.91,0.99,0.92,0.71,0.96,0.95,0.99,1.0
