,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.87,0.77,1.2,0.97,0.74,0.8,0.9,0.71,0.67,0.65,0.71,0.61,0.63,0.75,0.63
d_1,1.15,1.0,1.05,0.9,0.9,0.81,0.69,0.73,0.55,0.81,0.63,0.67,0.54,0.53,0.56,0.51
f_1,1.3,0.94,1.0,0.95,0.9,0.79,0.57,0.64,0.71,0.57,0.67,0.59,0.59,0.6,0.47,0.51
c_1,0.83,1.11,1.06,1.0,1.47,0.75,0.74,0.51,0.63,0.54,0.52,0.59,0.51,0.53,0.58,0.66
b_1,1.04,1.13,1.11,0.68,1.0,1.47,0.76,0.73,0.82,0.75,0.67,0.67,0.75,0.52,0.65,0.57
a_1,1.38,1.23,1.28,1.31,0.68,1.0,0.84,0.7,0.81,0.87,0.85,0.68,0.68,0.77,0.62,0.67
h_1,1.22,1.48,1.81,1.34,1.28,1.15,1.0,0.84,1.08,0.89,0.9,0.72,0.79,0.78,0.72,0.86
d_0,1.11,1.36,1.47,2.03,1.46,1.39,1.23,1.0,1.04,0.78,0.98,0.82,0.95,0.91,0.72,0.89
g_1,1.44,1.78,1.32,1.57,1.24,1.19,0.96,0.93,1.0,0.89,0.91,1.16,0.66,0.75,0.79,0.82
c_0,1.45,1.23,1.8,1.59,1.26,1.15,1.2,1.31,1.08,1.0,1.44,0.97,1.1,0.9,0.88,0.83
b_0,1.61,1.52,1.58,1.95,1.54,1.14,1.1,1.02,1.07,0.7,1.0,0.87,1.08,1.33,0.81,0.85
f_0,1.5,1.59,1.67,1.64,1.45,1.4,1.29,1.15,0.86,1.04,1.03,1.0,0.89,1.0,1.41,0.79
h_0,1.64,1.75,1.75,1.95,1.33,1.4,1.26,1.06,1.47,0.93,0.88,1.03,1.0,0.89,0.83,1.15
a_0,1.53,1.9,1.65,1.87,2.14,1.22,1.29,1.12,1.46,1.03,0.72,1.07,1.14,1.0,0.94,0.89
e_0,1.48,1.86,2.17,1.73,1.7,1.41,1.4,1.33,1.26,1.08,1.13,0.71,1.21,1.06,1.0,1.11
g_0,1.54,2.08,1.88,1.61,1.7,1.42,1.15,1.17,1.26,1.28,1.21,1.3,0.88,1.08,0.93,1.03
