,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.96,0.69,0.6,0.47,0.52,0.41,0.43,0.35,0.35,0.58,0.43,0.36,0.36,0.32,0.29,0.28
f_1,0.6,0.96,0.89,0.56,0.5,0.37,0.38,0.37,0.43,0.37,0.35,0.27,0.34,0.25,0.31,0.18
e_1,0.61,0.61,0.96,0.66,0.55,0.42,0.43,0.39,0.6,0.39,0.4,0.34,0.33,0.28,0.3,0.22
c_1,0.71,0.61,0.6,0.95,0.87,0.41,0.43,0.4,0.35,0.29,0.28,0.39,0.38,0.28,0.32,0.26
b_1,0.69,0.7,0.67,0.54,0.95,0.72,0.43,0.36,0.41,0.42,0.35,0.36,0.36,0.29,0.34,0.28
a_1,0.81,0.74,0.71,0.71,0.53,0.95,0.56,0.46,0.49,0.47,0.48,0.38,0.47,0.33,0.38,0.34
h_1,1.01,1.17,0.94,0.85,0.75,0.51,0.81,0.69,0.52,0.55,0.48,0.43,0.47,0.41,0.49,0.37
g_1,1.26,0.95,0.89,0.85,0.81,0.56,0.56,0.8,0.55,0.65,0.57,0.66,0.52,0.43,0.39,0.47
d_0,0.9,1.02,0.87,1.39,0.88,0.55,0.67,0.59,0.74,0.52,0.59,0.47,0.58,0.39,0.46,0.43
c_0,1.0,1.18,0.98,0.88,0.72,0.63,0.75,0.59,0.67,0.75,0.91,0.53,0.62,0.55,0.51,0.5
b_0,1.14,1.15,0.98,1.02,0.69,0.57,0.72,0.62,0.59,0.54,0.75,0.54,0.56,0.69,0.54,0.39
f_0,1.11,1.09,0.96,0.92,0.9,0.77,0.74,0.56,0.66,0.69,0.66,0.73,0.58,0.51,0.47,0.79
h_0,1.22,1.39,1.18,0.94,0.89,0.63,0.59,0.74,0.64,0.65,0.71,0.58,0.58,0.48,0.64,0.4
a_0,1.18,1.39,1.11,1.13,0.99,0.5,0.8,0.72,0.77,0.68,0.65,0.58,0.68,0.7,0.56,0.44
g_0,1.51,1.14,1.09,1.04,0.98,0.76,0.72,0.61,0.65,0.74,0.74,0.83,0.6,0.56,0.54,0.57
e_0,1.26,1.43,1.21,1.04,1.05,0.82,0.81,0.69,0.62,0.6,0.73,0.51,0.72,0.56,0.51,0.66
