,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.41,1.47,1.27,1.22,1.22,1.32,0.68,1.03,0.5,0.7,0.59,0.56,0.39,0.64,0.49,0.36
e_1,1.19,0.41,0.83,1.27,1.43,1.29,0.86,0.67,0.82,0.63,0.72,0.65,0.55,0.55,1.96,0.59
f_1,1.27,1.56,0.4,1.26,1.29,1.76,0.47,0.61,0.84,0.49,0.96,0.53,0.32,0.51,0.45,0.45
c_1,1.56,1.13,1.27,0.39,1.4,1.31,0.63,0.35,0.73,1.42,0.51,0.53,0.58,0.56,0.55,0.66
b_1,1.39,1.35,1.6,0.83,0.36,1.33,0.76,0.48,0.64,0.73,0.49,1.18,0.51,0.65,0.61,0.54
a_1,1.14,1.28,1.19,1.48,0.82,0.31,0.93,0.59,0.77,0.7,0.66,0.72,0.68,1.39,0.76,0.54
h_1,0.89,0.91,1.09,1.12,0.84,0.79,0.25,0.45,0.73,0.39,0.43,0.43,0.83,0.39,0.4,0.39
d_0,2.18,0.58,1.05,1.25,1.12,0.84,0.53,0.28,0.45,0.39,0.38,0.42,0.37,0.35,0.37,0.44
g_1,1.1,0.86,0.84,1.01,1.08,0.83,0.38,0.58,0.23,0.45,0.43,0.44,0.34,0.68,0.49,0.42
c_0,0.58,1.02,1.02,1.84,0.96,0.74,0.6,0.58,0.53,0.26,0.5,0.61,0.48,0.44,0.51,0.45
f_0,0.86,0.94,2.03,1.02,1.07,0.87,0.55,0.43,0.41,0.4,0.25,0.41,0.42,0.34,0.43,0.23
b_0,0.96,0.82,0.99,1.33,1.92,0.87,0.52,0.5,0.43,0.24,0.41,0.25,0.39,0.55,0.43,0.3
h_0,1.01,0.88,1.29,0.82,1.07,0.8,0.67,0.44,0.52,0.35,0.36,0.37,0.56,0.41,0.37,0.34
a_0,0.82,0.89,1.08,1.07,1.09,,0.58,0.51,0.42,0.4,0.48,0.24,0.4,0.21,0.45,0.33
e_0,0.88,1.09,1.34,1.18,0.92,0.7,0.52,0.5,0.36,0.39,0.24,0.42,0.35,0.33,0.21,0.39
g_0,1.02,0.91,1.31,0.83,0.83,0.93,0.48,0.44,1.17,0.33,0.5,0.46,0.33,0.46,0.39,0.48
