,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,0.87,1.13,0.92,0.87,0.69,0.84,0.69,0.57,0.62,0.66,0.67,0.64,0.76,0.67
f_1,1.16,1.0,0.88,1.07,0.93,0.86,0.51,0.65,0.73,0.58,0.57,0.51,0.49,0.48,0.45,0.59
d_1,1.15,1.14,1.0,0.8,0.99,0.8,0.73,0.79,0.59,0.9,0.71,0.59,0.7,0.54,0.63,0.46
c_1,0.89,0.94,1.25,1.0,1.2,0.77,0.79,0.48,0.69,0.61,0.56,0.66,0.66,0.59,0.58,0.5
b_1,1.1,1.07,1.02,0.83,1.0,1.22,0.82,0.73,0.61,0.67,0.66,0.65,0.54,0.63,0.62,0.68
a_1,1.14,1.17,1.26,1.27,0.83,1.0,0.92,0.89,0.85,0.79,0.9,0.81,0.82,0.75,0.62,0.7
h_1,1.41,1.9,1.44,1.3,1.19,1.15,1.0,0.9,1.03,0.83,0.94,0.8,0.81,0.76,0.63,0.85
d_0,1.18,1.46,1.3,2.06,1.35,1.26,1.12,1.0,1.0,0.87,0.92,0.98,0.89,0.75,0.78,0.98
g_1,1.39,1.38,1.71,1.49,1.63,1.14,0.98,0.99,1.0,0.89,0.95,1.23,0.8,0.85,0.76,1.03
c_0,1.7,1.66,1.16,1.74,1.35,1.31,1.21,1.16,1.13,1.0,1.37,1.07,0.86,0.99,0.91,0.87
b_0,1.55,1.8,1.44,1.75,1.46,1.16,1.12,1.05,1.06,0.75,1.0,0.86,0.94,1.26,0.89,0.88
f_0,1.55,1.75,1.69,1.45,1.57,1.16,1.3,0.96,0.86,0.93,1.11,1.0,0.89,1.02,1.48,0.71
h_0,1.53,2.01,1.47,1.46,1.71,1.33,1.22,1.09,1.23,1.1,1.04,1.13,1.0,0.84,0.85,1.15
a_0,1.56,1.94,1.94,1.72,1.46,1.59,1.32,1.26,1.27,1.07,0.81,1.0,1.16,1.0,0.98,1.09
e_0,1.42,2.23,1.57,1.8,1.59,1.66,1.57,1.23,1.22,1.06,1.2,0.74,1.13,1.05,1.0,1.08
g_0,1.52,1.65,2.24,1.92,1.56,1.47,1.14,1.0,0.99,1.12,1.18,1.42,0.86,0.96,0.94,1.0
