,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.78,0.36,0.34,0.47,0.47,0.35,0.75,0.82,0.7,1.29,0.77,0.83,0.85,0.84,0.16,0.91
f_1,0.7,3.89,0.34,0.38,0.46,0.34,0.73,0.61,0.71,0.82,0.7,0.14,0.87,0.69,0.6,0.67
d_1,0.26,0.45,4.27,0.3,0.31,0.52,0.74,0.83,1.57,0.21,0.89,0.81,1.0,0.98,0.83,1.15
c_1,0.29,0.37,0.35,4.55,0.74,0.38,0.79,0.87,0.15,0.85,0.77,0.77,0.87,0.63,1.07,0.79
b_1,0.43,0.41,0.35,0.38,4.88,0.67,0.65,0.59,0.96,0.92,0.22,0.77,0.74,0.65,0.96,0.69
a_1,0.41,0.36,0.45,0.39,0.28,6.87,1.0,0.64,0.79,0.79,1.06,0.83,0.98,0.26,0.92,0.7
h_1,0.77,0.88,0.56,0.76,0.54,0.61,5.18,1.63,1.42,1.07,1.23,1.58,0.59,1.53,1.1,2.1
g_1,0.69,0.48,1.28,0.56,0.51,0.62,1.12,5.84,1.16,1.13,1.43,2.79,1.32,0.86,1.3,0.58
c_0,0.72,0.91,0.88,0.31,0.51,0.61,1.44,1.17,3.71,1.21,2.54,1.92,1.56,1.68,1.67,1.61
d_0,0.67,0.9,0.24,1.4,0.55,0.6,1.26,1.24,0.93,3.56,1.37,1.55,1.78,1.17,1.53,1.33
b_0,0.8,0.71,0.91,0.64,0.26,0.49,1.35,1.34,1.44,1.67,4.54,1.58,1.43,3.09,1.01,1.77
f_0,0.7,0.38,0.87,0.83,0.62,0.64,1.24,1.1,1.62,1.56,1.52,4.8,1.66,1.67,3.08,1.76
h_0,0.66,1.11,0.82,0.69,0.44,0.52,0.46,1.55,1.02,1.3,1.65,1.39,0.74,2.06,1.88,2.02
a_0,0.82,0.67,0.84,0.76,0.66,,1.35,1.31,1.62,1.48,1.39,1.43,1.63,6.02,1.31,2.05
e_0,0.23,1.01,0.9,0.91,0.7,0.56,1.52,1.12,1.48,1.69,1.34,1.15,2.09,1.09,6.31,1.64
g_0,0.63,0.6,1.16,0.7,0.68,0.5,1.01,0.7,1.38,1.05,1.85,2.05,1.66,1.54,1.83,0.69
