,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,11.86,1.55,0.62,0.6,0.56,0.49,0.8,0.9,0.86,0.9,0.92,0.5,0.98,0.97,0.9,0.62
e_1,0.66,12.05,0.54,0.84,0.67,0.62,0.89,2.31,0.91,0.88,1.04,1.08,1.11,0.93,1.12,0.65
d_1,0.8,0.62,14.93,0.49,0.58,0.58,0.92,0.55,1.05,2.46,1.19,0.99,1.04,1.1,0.99,1.16
c_1,0.58,0.51,0.67,14.22,1.59,0.61,0.79,0.72,0.81,0.46,0.59,1.11,0.9,0.96,0.91,0.93
b_1,0.66,0.54,0.6,0.65,14.52,1.94,1.04,0.93,0.8,0.77,0.55,0.95,0.76,0.6,0.92,1.07
a_1,0.67,0.65,0.71,0.74,0.53,23.65,1.45,0.89,1.07,0.81,1.03,0.79,1.11,0.79,0.78,0.99
h_1,1.17,0.68,0.98,0.81,0.65,0.55,3.54,0.69,1.47,0.83,1.05,0.92,0.7,0.86,1.49,1.11
d_0,0.69,0.56,0.36,2.61,0.89,0.81,1.14,2.33,0.78,0.59,0.99,1.16,0.87,0.76,1.31,1.26
g_1,0.71,0.61,1.66,0.58,0.63,0.61,0.9,0.77,4.74,1.21,1.21,2.25,1.37,1.16,0.72,1.13
c_0,0.86,0.8,0.89,0.57,0.47,0.78,0.97,0.97,1.05,2.46,3.84,1.3,1.31,1.58,1.14,1.24
b_0,0.86,0.77,1.1,0.82,0.43,0.52,1.11,1.01,0.96,1.21,2.83,1.13,1.33,3.06,1.14,1.33
f_0,0.54,0.46,1.06,0.94,0.86,0.66,1.11,1.13,1.18,1.12,1.55,3.01,1.45,1.42,1.17,3.52
h_0,1.26,0.74,1.0,0.67,0.63,0.64,0.7,0.83,1.65,1.02,1.13,0.97,0.68,1.15,1.35,1.06
a_0,0.71,0.76,1.11,0.93,0.67,0.54,1.26,0.97,1.16,0.92,1.22,1.08,0.96,2.77,1.47,1.08
g_0,0.6,0.55,1.57,0.98,0.71,0.66,1.14,0.88,0.72,1.02,1.26,2.07,1.01,1.19,0.86,1.25
e_0,0.8,0.33,0.87,1.06,0.85,0.8,1.06,1.09,1.12,1.1,1.34,1.32,1.61,1.07,1.32,3.63
