,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.07,14.28,8.2,10.28,8.47,7.02,3.54,2.05,3.36,,2.77,2.24,2.22,1.54,1.8,1.53
e_1,7.66,1.07,5.88,9.1,7.6,7.42,4.8,4.17,2.61,3.24,3.21,2.34,2.23,2.04,2.41,
f_1,11.11,11.29,1.07,9.41,7.08,8.14,3.35,2.7,2.96,2.55,2.84,,1.67,1.66,2.43,2.86
c_1,10.52,9.44,8.54,1.07,11.67,7.53,4.26,3.99,,1.92,2.05,2.95,2.53,2.39,2.33,3.47
b_1,10.58,11.83,13.9,7.93,1.07,11.06,3.24,3.34,3.83,3.6,,3.42,2.23,2.66,,2.43
a_1,18.58,12.45,17.16,15.06,9.46,1.07,5.81,3.62,5.85,4.37,6.0,4.11,3.79,2.75,,
h_1,14.15,14.08,12.62,11.28,13.93,15.57,1.41,6.37,3.88,3.46,5.34,4.06,,3.03,3.07,2.88
g_1,18.75,15.79,29.64,14.87,18.06,18.22,3.65,1.41,4.86,5.82,4.76,5.8,2.13,,,
c_0,8.53,15.61,14.86,,14.87,11.28,4.31,6.17,1.75,5.34,5.39,3.24,3.26,2.9,4.6,4.3
d_0,,9.8,14.05,16.35,12.62,14.31,6.48,5.45,4.52,1.71,3.28,4.17,3.25,3.5,5.4,3.34
b_0,15.08,14.57,17.08,28.14,,13.41,5.75,4.45,2.66,5.38,1.69,4.56,3.28,4.3,5.97,
f_0,20.49,19.15,,22.07,17.36,14.06,7.04,4.44,6.37,5.09,4.97,1.73,5.26,2.19,4.28,4.57
h_0,15.16,15.86,15.92,12.43,15.12,12.27,,9.43,4.55,4.59,5.03,3.67,,4.25,,4.13
g_0,17.72,18.34,26.16,18.07,17.26,17.39,5.21,,5.54,5.27,5.07,7.07,3.21,,,6.07
a_0,34.95,25.46,24.71,19.19,,,9.18,,5.84,5.65,3.56,5.65,,,1.71,
e_0,36.95,,22.59,16.8,25.49,,10.18,,5.8,7.96,,4.83,4.21,4.38,,1.69
